iter,host_ns,dev_ns
1,69956,27615
2,57267,17058
3,49289,10794
4,50304,18511
5,44694,13121
6,53450,16372
7,52559,18353
8,43125,10961
9,53917,18740
10,54478,13832
11,61652,19100
12,57194,19158
13,63801,23318
14,42506,8296
15,69197,16512
16,97083,36041
17,75233,22229
18,91596,31168
19,65717,3559
20,61340,11552
21,103775,34874
22,98277,27397
23,66092,14557
24,53949,8207
25,71165,21163
26,98316,42132
27,74728,18070
28,73914,22363
29,74253,20118
30,79451,19824
31,76074,23903
32,90704,29386
33,69341,27693
34,142903,66202
35,88742,27476
36,124199,40996
37,109547,32999
38,122291,31298
39,112905,28767
40,113232,37337
41,125563,46406
42,107062,30547
43,110275,32853
44,94801,8065
45,104451,23351
46,120521,38154
47,117959,26973
48,107744,19245
49,117435,25147
50,106033,18868
51,93752,21594
52,103899,23601
53,117084,37026
54,120938,34798
55,108772,31298
56,88551,11932
57,102137,37713
58,88456,27100
59,102161,37405
60,115006,53874
61,85767,27793
62,81162,20771
63,95729,29630
64,65214,3181
65,89513,25004
66,95872,24619
67,101154,35111
68,110709,40678
69,111048,42025
70,81213,17339
71,84012,21474
72,89366,27141
73,82207,28494
74,85506,20441
75,96624,23203
76,123053,50696
77,99562,21297
78,90625,21112
79,88950,20676
80,78607,11234
81,109627,29885
82,113004,36362
83,94917,28615
84,100224,33992
85,124421,41702
86,102041,32058
87,104520,34891
88,100739,25928
89,84553,14739
90,82925,15595
91,119594,45587
92,108066,29065
93,113781,42646
94,120400,48548
95,105638,26382
96,122278,51758
97,103771,31571
98,95599,28120
99,107789,34068
100,107307,36374
101,109133,26004
102,108535,36871
103,88817,20184
104,102836,32681
105,119373,41541
106,104213,28930
107,87253,19163
108,104149,34973
109,112206,35421
110,101278,26335
111,95815,24217
112,108067,30940
113,171006,88109
114,118220,38898
115,140858,66937
116,104236,33824
117,113570,36949
118,125777,49028
119,116158,40139
120,112331,42809
121,89895,34867
122,81727,20537
123,101465,41247
124,126822,62568
125,93026,28364
126,97688,36086
127,89448,32190
128,100190,28101
129,105993,37457
130,91833,31320
131,139898,43403
132,93526,32203
133,100450,32788
134,102844,39448
135,104501,47017
136,85440,29032
137,97502,36668
138,90047,36429
139,86467,29687
140,89639,35175
141,91398,26990
142,106177,43839
143,97339,36853
144,94209,37242
145,92332,29869
146,75005,21317
147,82339,22065
148,88787,32265
149,86456,29109
150,102382,41956
151,111351,46997
152,85732,28456
153,103500,44757
154,76905,15866
155,93699,39278
156,66824,14831
157,108562,47816
158,99095,37490
159,107868,38738
160,87126,29473
161,89016,34977
162,105174,42580
163,101263,41966
164,76692,14153
165,88589,32153
166,100454,39275
167,98030,29528
168,78535,25296
169,88246,30121
170,76448,22430
171,88909,24988
172,120568,61103
173,98875,27892
174,92557,34898
175,61391,11209
176,93355,37537
177,83384,30369
178,104632,45826
179,109271,42533
180,81467,29139
181,92416,35926
182,91049,34210
183,96952,31176
184,75899,26445
185,92112,32503
186,86914,30893
187,105772,44712
188,82545,25548
189,112794,58216
190,109797,49361
191,91586,28803
192,102587,38857
193,77926,23261
194,77318,19135
195,97128,37958
196,118295,50349
197,68101,12887
198,81339,18593
199,87201,29186
200,82891,30977
