iter,host_ns,dev_ns
1,81463,18328
2,75926,27244
3,55624,12360
4,85093,8471
5,234246,80638
6,209710,81864
7,258251,142447
8,167703,34691
9,160876,45994
10,182689,55280
11,172512,55654
12,179761,67051
13,235883,120554
14,236017,132937
15,198989,70261
16,198731,65324
17,156793,30401
18,217385,96962
19,181166,54542
20,220378,99660
21,157941,32729
22,178376,47504
23,214745,68837
24,201807,64646
25,163261,54863
26,224677,76006
27,172734,53972
28,293078,172073
29,215913,78943
30,174854,59807
31,157915,13718
32,211732,85755
33,198994,53578
34,177260,56667
35,168600,63321
36,124300,2923
37,135905,48688
38,182221,61428
39,230665,109951
40,171646,57066
41,148864,45552
42,206591,96989
43,140302,36889
44,210289,75452
45,169213,40565
46,199999,57761
47,185029,59644
48,162558,44028
49,166228,50619
50,354548,222371
51,220576,83828
52,313481,192148
53,121930,23649
54,180463,61062
55,193253,53142
56,209224,66474
57,152578,29991
58,135372,21910
59,201894,80796
60,190111,68789
61,257823,127203
62,247764,85477
63,164156,36535
64,171294,58213
65,176174,45204
66,219478,36856
67,246609,57317
68,273201,84996
69,228507,55658
70,259966,88730
71,254240,73218
72,256651,72228
73,242918,68012
74,267891,82424
75,273210,96739
76,311002,130189
77,268654,70121
78,215971,76939
79,195997,70123
80,232880,38589
81,238309,59224
82,241464,68831
83,257351,77908
84,477461,61176
85,312170,57621
86,287166,60687
87,342271,79992
88,314615,81971
89,304976,91468
90,211350,5356
91,255173,87388
92,274211,91666
93,187801,37764
94,200337,58255
95,242416,87248
96,212770,62969
97,193591,56708
98,177308,45539
99,168722,47562
100,194313,51216
101,206504,65804
102,231844,68287
103,179217,34145
104,179118,35858
105,172118,46097
106,304057,56347
107,218361,75619
108,190938,40185
109,184985,29268
110,204880,57051
111,179856,50596
112,205426,71153
113,221506,96082
114,241668,104483
115,230538,84079
116,226372,81119
117,188697,72768
118,173668,49521
119,217662,97776
120,190512,66193
121,172251,53351
122,182296,61770
123,209742,62804
124,130146,29587
125,144751,35744
126,199664,53729
127,201800,52034
128,232312,83949
129,185918,35522
130,207420,62026
131,223185,80434
132,198417,55409
133,243086,78512
134,241966,77450
135,268702,86873
136,337002,148490
137,410811,234684
138,212453,73783
139,220934,71852
140,197125,62448
141,240245,63010
142,302566,84100
143,374979,76034
144,287686,54686
145,235410,83789
146,216224,47753
147,386369,174937
148,270383,63315
149,341021,88222
150,382122,54186
151,281598,85227
152,286823,116594
153,265106,40573
154,323446,172131
155,256496,83809
156,259428,88385
157,466290,319842
158,196905,62014
159,195678,41879
160,227762,87130
161,232595,101834
162,252602,93224
163,213968,83252
164,225541,87287
165,220055,66975
166,240220,87449
167,211429,57178
168,286231,141133
169,244356,108573
170,196058,65648
171,222325,87805
172,205727,63730
173,210811,67804
174,274803,93018
175,273513,78929
176,435360,52423
177,250804,86731
178,209515,13618
179,446171,225375
180,252749,73953
181,208311,57708
182,213178,72584
183,251676,101963
184,246383,109573
185,219967,70545
186,256774,91854
187,287424,141379
188,251464,95953
189,237827,111838
190,213605,63424
191,223943,86033
192,254859,90104
193,223785,83307
194,237889,79423
195,175647,49400
196,203138,44954
197,232008,58601
198,199832,57956
199,168454,19457
200,243969,113182
