iter,host_ns,dev_ns
1,49972,14142
2,63041,26813
3,53547,18517
4,44998,15404
5,50872,17172
6,46504,14983
7,35391,7184
8,45638,13256
9,34633,6034
10,57540,15986
11,48710,14271
12,55827,23505
13,40970,10545
14,48885,12483
15,328517,137480
16,290487,81141
17,226422,50960
18,355993,179435
19,271861,85804
20,285666,80094
21,277209,109661
22,245502,86695
23,232522,93314
24,272938,95698
25,260979,72318
26,395505,106253
27,353377,39112
28,272527,100391
29,221069,92199
30,615517,285893
31,346765,120312
32,315429,32140
33,365403,124349
34,423690,152333
35,364215,73908
36,254473,36802
37,375690,105253
38,453521,243047
39,415840,190435
40,300864,93200
41,319522,89918
42,337155,88436
43,626928,257745
44,312024,85806
45,327233,59649
46,514511,51953
47,412375,134965
48,289206,103587
49,300471,32064
50,333635,103612
51,311055,123482
52,430441,148560
53,377816,116150
54,382599,43608
55,233135,6430
56,280017,41626
57,354957,92591
58,374334,105525
59,280889,69288
60,221987,77810
61,264399,129592
62,291316,81768
63,501922,70970
64,338634,69914
65,199360,43061
66,219130,21829
67,316943,106481
68,310441,114934
69,254582,77092
70,304578,128693
71,258359,40207
72,331088,154516
73,334352,127289
74,432244,254449
75,287158,127407
76,229021,44306
77,218628,59802
78,248231,82945
79,242108,86668
80,178986,3840
81,261718,115521
82,343968,164836
83,174221,7697
84,276442,102177
85,261246,63136
86,222428,68860
87,247140,99454
88,330834,132337
89,154712,10244
90,251469,46588
91,215968,61844
92,427704,282146
93,285339,4106
94,373980,211925
95,222343,45459
96,169010,33852
97,228312,44589
98,232378,91697
99,213565,68545
100,308854,127278
101,251140,82917
102,259934,75750
103,190149,42351
104,253902,90167
105,141933,10029
106,262363,124765
107,294898,133303
108,231335,82667
109,170972,31684
110,335463,181409
111,232603,72448
112,356934,151879
113,249912,98168
114,244308,90991
115,169585,3379
116,239246,58863
117,304292,140694
118,388373,207398
119,253182,92148
120,234182,75058
121,290578,104746
122,317344,150529
123,238229,56601
124,290549,120841
125,242480,86474
126,255789,86523
127,303717,123541
128,209517,53363
129,401840,266406
130,291853,104463
131,204228,45831
132,161750,36903
133,280982,108389
134,267282,45491
135,489717,251671
136,430143,150736
137,240278,70351
138,407802,176432
139,391264,134064
140,263349,60804
141,460554,307864
142,270846,78487
143,308006,114071
144,310133,165263
145,243626,89760
146,255172,83391
147,313596,48771
148,304087,82543
149,329253,123420
150,313150,89255
151,388296,142759
152,293097,100475
153,263561,74092
154,474664,296016
155,519893,311564
156,496029,229020
157,377129,107553
158,205465,28818
159,269755,97829
160,398687,61639
161,333461,137440
162,459021,118784
163,371415,198352
164,388637,110554
165,267016,67283
166,302685,43437
167,307341,85293
168,229290,99591
169,295200,111723
170,271101,79901
171,268167,84260
172,183774,29947
173,316812,85970
174,250324,83462
175,255929,96785
176,330488,132847
177,278188,102358
178,273514,88968
179,183491,16627
180,213198,73236
181,239276,88901
182,268092,119784
183,193243,49131
184,232011,87221
185,222781,80266
186,264874,97269
187,341260,151892
188,246626,78826
189,280386,96176
190,236200,71167
191,244699,79742
192,173080,32728
193,318606,149702
194,344207,150389
195,277093,106527
196,285701,129779
197,230267,91513
198,213610,55906
199,292805,104983
200,278357,66957
