iter,host_ns,dev_ns
1,53040,22302
2,62716,26079
3,51938,15830
4,56098,16900
5,58570,23475
6,47605,10098
7,48444,14297
8,48304,14994
9,47397,14583
10,51155,18885
11,59156,26714
12,41512,10236
13,74476,38094
14,56899,17926
15,46258,12071
16,127132,55409
17,242221,95481
18,196969,61611
19,183018,62605
20,228652,76944
21,286346,142554
22,233888,84584
23,231264,89026
24,219806,83717
25,221143,64958
26,189111,50219
27,206419,73963
28,200577,64451
29,205375,45019
30,217138,80385
31,274783,144981
32,178060,56244
33,218840,78389
34,195855,89345
35,175508,50804
36,188985,58925
37,165470,54289
38,185363,73186
39,179814,53317
40,440788,38073
41,214462,23191
42,216898,58906
43,204180,64811
44,192237,65140
45,128075,34856
46,193211,70193
47,201886,74330
48,176946,61862
49,135971,24320
50,205416,34201
51,164039,17618
52,237910,55037
53,224663,52487
54,196900,39510
55,174248,55685
56,259198,68883
57,198664,67465
58,180642,56159
59,168754,44361
60,169633,46786
61,182081,67733
62,179479,71905
63,207059,79490
64,160313,48711
65,198618,76898
66,152430,42841
67,145930,28840
68,156298,53075
69,125956,6979
70,156810,49967
71,193162,37438
72,299354,120203
73,185410,31513
74,190991,67114
75,513582,403442
76,287496,108867
77,239299,83079
78,186778,62431
79,244748,117270
80,196150,65462
81,213903,83616
82,141490,27457
83,215091,95338
84,193257,62545
85,251695,112117
86,207086,74927
87,193710,77566
88,202641,41576
89,195823,29861
90,262802,72508
91,200360,29102
92,226371,98092
93,288517,169456
94,195532,74876
95,180386,51096
96,313471,182203
97,180636,62624
98,255188,94384
99,208706,75558
100,173542,32067
101,231003,103229
102,198840,59852
103,171775,54710
104,183467,74661
105,161749,33257
106,197955,62657
107,198931,88418
108,263357,99980
109,206246,92180
110,159905,50430
111,178461,65053
112,192930,64385
113,215073,88481
114,173902,45631
115,207087,91749
116,208658,95150
117,175446,44972
118,161495,40340
119,141680,48284
120,209024,56933
121,242334,85937
122,172381,47316
123,209271,69072
124,202973,66489
125,188629,68419
126,180392,68288
127,199127,57565
128,168999,52808
129,151329,33856
130,201003,71688
131,193231,68494
132,176561,61968
133,200211,77783
134,177466,55323
135,181670,67154
136,198672,69882
137,194469,79845
138,160357,37228
139,223205,86478
140,179807,59474
141,188864,53126
142,208627,82731
143,179338,51658
144,241529,58485
145,206494,40550
146,227891,40185
147,218916,65388
148,237213,67062
149,279062,105360
150,167000,8932
151,184624,53860
152,203876,50041
153,189596,63675
154,206372,82673
155,170296,42139
156,185979,72263
157,206926,73761
158,219720,80595
159,265758,138234
160,235453,88015
161,186025,52901
162,223746,83187
163,169204,49660
164,197847,42091
165,264440,112904
166,220994,79858
167,240594,56074
168,216356,61284
169,216787,56330
170,255783,84906
171,164775,34570
172,187814,63831
173,264007,130413
174,228368,97319
175,195992,61836
176,172936,45904
177,216251,66777
178,237521,72577
179,289778,83859
180,294441,79254
181,338103,115931
182,272539,112815
183,203939,45726
184,201190,61675
185,233196,92826
186,233214,75533
187,149733,29447
188,192824,41473
189,222307,68845
190,252274,132750
191,166660,22868
192,182502,61278
193,211229,66399
194,146362,44537
195,113712,21551
196,198856,89229
197,168826,69716
198,215350,73656
199,226138,97627
200,233182,96809
