iter,host_ns,dev_ns
1,430606,197979
2,347377,114402
3,288393,126460
4,280431,92227
5,486987,277466
6,311476,110227
7,303690,83606
8,297667,74946
9,293457,94349
10,282357,78613
11,283693,95078
12,303333,78513
13,622670,132850
14,449935,90117
15,471752,289414
16,321789,33288
17,615244,332040
18,321952,59271
19,357872,64361
20,418998,78575
21,332768,89369
22,360106,65710
23,290439,5740
24,251221,88094
25,279410,117181
26,249443,46127
27,326874,117304
28,385709,103641
29,230875,32644
30,285505,108802
31,270555,60535
32,240827,26371
33,351555,79505
34,342259,118525
35,396885,168073
36,325041,59800
37,218288,47383
38,280276,100365
39,346167,133639
40,446138,139352
41,399158,126629
42,386108,95881
43,349230,72905
44,192528,29178
45,361829,97583
46,494882,135718
47,318175,94353
48,262368,123746
49,261856,4566
50,170355,26345
51,205409,46567
52,605015,91488
53,320179,69956
54,384730,124856
55,267374,4404
56,528575,316207
57,384198,96172
58,283410,53617
59,331916,75436
60,286879,4931
61,386384,161378
62,355388,11568
63,339224,67431
64,423178,87800
65,477929,99684
66,404653,95492
67,437119,198133
68,369332,148674
69,352363,99417
70,297872,69098
71,354870,139975
72,413552,143637
73,253069,82984
74,303446,92693
75,324248,59221
76,338309,91122
77,385086,90408
78,413279,123646
79,293288,10304
80,356153,121657
81,776186,153878
82,456648,103574
83,660857,286036
84,357004,134932
85,358469,25503
86,658513,132638
87,216935,4334
88,257952,74019
89,429599,99142
90,249064,46807
91,400592,125927
92,288811,71332
93,323616,90073
94,289140,53900
95,231359,68401
96,292748,125587
97,270368,98372
98,256832,62162
99,260375,38353
100,257925,75833
101,457724,269933
102,273174,87851
103,323162,87057
104,423395,112730
105,295006,106227
106,316427,80665
107,227144,8189
108,357444,71343
109,247272,4500
110,403351,46300
111,309023,35001
112,592409,157898
113,533580,276229
114,489005,114531
115,307476,34800
116,320422,126029
117,365286,15906
118,372891,71792
119,284645,79971
120,267427,90661
121,237513,79267
122,264578,90173
123,536442,178315
124,528218,233704
125,395340,156876
126,649893,349855
127,379972,99636
128,305672,52575
129,316700,95174
130,325702,78589
131,540349,170223
132,267990,12980
133,257703,71853
134,323042,107595
135,438354,175094
136,348196,69181
137,337911,98537
138,233448,58875
139,380343,165277
140,355843,123385
141,195365,20981
142,219468,48632
143,273613,44762
144,367890,144013
145,297142,38567
146,282578,88822
147,268734,82748
148,273239,90176
149,290431,105612
150,268193,97032
151,273526,70473
152,236959,54619
153,250547,56878
154,189224,37136
155,245443,45784
156,307615,53512
157,386677,41414
158,439652,240069
159,257959,12166
160,462346,263160
161,204410,13775
162,276417,43532
163,320673,107211
164,359241,145514
165,296587,120434
166,349104,110118
167,311131,78158
168,396566,66670
169,223769,64150
170,320355,113104
171,320451,157292
172,174320,49566
173,234597,64495
174,229213,59335
175,293523,110966
176,257718,99965
177,231967,77269
178,303147,128440
179,200428,75251
180,159559,31820
181,205672,75176
182,231681,93003
183,211651,79587
184,229441,88538
185,209330,89070
186,245371,116002
187,176527,67461
188,312810,188414
189,257349,104234
190,218202,85271
191,185942,49270
192,233713,50364
193,395859,114650
194,201825,36169
195,221727,67341
196,251666,85992
197,245374,67261
198,267804,84325
199,311501,115157
200,254964,71733
