iter,host_ns,dev_ns
1,82262,27762
2,66556,13732
3,88397,41324
4,62893,19817
5,94025,33166
6,425989,331725
7,238151,40324
8,344259,144462
9,380437,146434
10,319774,98194
11,342114,148932
12,404659,171246
13,233974,79993
14,342087,88523
15,262006,90497
16,256920,104192
17,284407,90454
18,430365,95990
19,367470,118779
20,494605,61344
21,421033,176550
22,384076,119245
23,387093,143637
24,279702,114017
25,338534,98411
26,275123,68706
27,302786,87278
28,307568,100897
29,488944,220015
30,317037,83340
31,347507,78140
32,259247,57800
33,217194,74400
34,311352,61325
35,277963,76038
36,236508,49155
37,260940,75044
38,287357,97349
39,273404,93946
40,310387,135341
41,277214,85640
42,246232,75364
43,192699,39051
44,181779,37877
45,229513,35461
46,255685,63768
47,250011,93783
48,399767,152355
49,338839,57936
50,339371,64964
51,517839,217672
52,368533,68367
53,301512,53845
54,347103,144216
55,363652,135998
56,276011,83703
57,350774,148691
58,271553,85530
59,352777,153554
60,387837,233017
61,449890,277504
62,288042,93449
63,247228,74273
64,371115,90766
65,224240,39105
66,244907,80394
67,279847,110491
68,224324,9344
69,235126,73668
70,278007,59884
71,361999,84566
72,266796,69186
73,248743,79243
74,288121,60600
75,275357,98912
76,276113,101088
77,237904,85741
78,181381,45706
79,273288,60707
80,198988,23154
81,265613,79402
82,368235,129405
83,323130,100857
84,197258,7207
85,323746,139635
86,272650,55969
87,248095,75929
88,262276,112166
89,169208,30284
90,217332,69737
91,297143,144388
92,248085,79863
93,204154,65790
94,204626,62510
95,239008,92668
96,184891,37422
97,205982,60424
98,152543,33701
99,236163,98130
100,333071,127488
101,249777,103089
102,196074,60956
103,249377,65115
104,212490,3358
105,340135,168569
106,662901,437828
107,321913,64648
108,340761,116926
109,220406,11296
110,299501,57324
111,227078,43099
112,283208,75026
113,173222,25031
114,329970,62164
115,376005,81633
116,314382,93259
117,365894,100405
118,369403,94464
119,309825,37063
120,225923,50285
121,281878,79742
122,306831,81145
123,220457,26932
124,282722,40265
125,335565,78932
126,266890,71712
127,555607,30956
128,348748,88009
129,219100,4465
130,355718,172598
131,286671,92734
132,265734,64107
133,344727,51759
134,310064,65062
135,412761,84555
136,368288,116298
137,261106,54553
138,361209,60550
139,321175,112309
140,270416,55127
141,280151,57477
142,169990,25021
143,253474,77965
144,267749,127561
145,175435,42443
146,186152,63293
147,184812,55567
148,183012,55662
149,194560,40149
150,235931,58344
151,188622,48789
152,226392,75938
153,256733,58280
154,249045,82133
155,197020,46028
156,258141,85333
157,231111,69334
158,228084,59311
159,1068307,907584
160,186195,45047
161,84704,18189
162,113584,68317
163,74344,21861
164,71479,22072
165,66186,18890
166,64969,16158
167,67276,19455
168,67046,17025
169,70276,24912
170,75881,20750
171,95547,22042
172,211595,61496
173,241706,75334
174,196679,32864
175,259383,89317
176,191650,51499
177,230381,64534
178,236904,50588
179,237182,51312
180,234369,61312
181,218889,63054
182,221007,70549
183,201786,48689
184,259766,82908
185,220131,54439
186,227657,49403
187,271416,55202
188,196975,65426
189,196173,39334
190,197520,55189
191,200003,42416
192,176370,33687
193,136684,19139
194,187592,46865
195,196265,54185
196,168080,27051
197,201590,43199
198,157437,22369
199,243934,75431
200,151350,7000
