iter,host_ns,dev_ns
1,39981,1738
2,58427,12028
3,60021,1934
4,58846,21737
5,41600,10430
6,48417,13887
7,52656,6209
8,71927,15196
9,57548,10507
10,60208,9293
11,97652,43338
12,72373,30737
13,69727,23255
14,63827,15801
15,42703,5246
16,62671,15327
17,69846,13881
18,62597,12385
19,115706,23194
20,116738,25063
21,126289,28103
22,134256,41047
23,137484,45665
24,171472,57754
25,71091,14804
26,164552,87003
27,137863,77840
28,119774,44453
29,116405,49258
30,117424,39167
31,72791,2014
32,119100,25659
33,131320,29538
34,143979,46880
35,116749,18759
36,156122,46819
37,77723,14420
38,109357,36586
39,132410,64942
40,110140,37199
41,101500,33131
42,119893,46058
43,119948,39064
44,115055,46197
45,98054,25677
46,89644,22945
47,120785,49043
48,94798,25723
49,102807,29500
50,113270,48598
51,110281,34375
52,153169,75910
53,73774,12299
54,117062,48262
55,123467,48561
56,100538,32668
57,116284,48795
58,107693,29476
59,105062,33223
60,110491,32949
61,120457,50778
62,109465,39062
63,127638,56120
64,121028,38056
65,119401,31078
66,115864,21366
67,143456,42668
68,148377,49677
69,126560,37395
70,100710,12502
71,130771,39359
72,127471,21887
73,140494,33368
74,126969,49845
75,114777,34456
76,118489,22685
77,140756,33964
78,136871,28243
79,175613,66149
80,139345,64122
81,183699,97625
82,118332,45455
83,133676,36183
84,116234,28594
85,126391,44328
86,121565,45965
87,408863,43552
88,129472,39097
89,138078,52916
90,116897,40038
91,116957,41755
92,111247,38831
93,130594,48298
94,143182,62716
95,98342,28939
96,92813,17277
97,110250,41997
98,124968,49395
99,128163,56418
100,142129,68842
101,110198,37612
102,87283,3769
103,115743,53518
104,107099,34527
105,109052,37612
106,92462,18786
107,127324,48254
108,123372,40852
109,131200,55262
110,115554,41991
111,111142,42224
112,120188,47621
113,128108,49905
114,119168,35233
115,111776,36866
116,110918,33628
117,83116,21047
118,82793,20472
119,103737,28894
120,140285,54768
121,120726,48227
122,86641,20722
123,115035,38181
124,135213,51734
125,118587,51101
126,131998,59545
127,114344,41341
128,84715,16827
129,214341,139219
130,111698,38159
131,104899,33423
132,95297,27455
133,119050,49280
134,131519,60243
135,109853,30545
136,110137,37306
137,113577,42575
138,118581,50572
139,124310,52105
140,129983,48624
141,96394,28559
142,119462,41898
143,119867,41052
144,134829,55943
145,138621,60434
146,115962,53731
147,151834,74201
148,140513,52583
149,74018,13795
150,129820,53643
151,116692,48194
152,119510,32408
153,85400,19038
154,113887,40918
155,114829,41660
156,137628,56426
157,131209,52239
158,162816,70729
159,120353,47861
160,114003,34867
161,104716,30675
162,104877,36811
163,131788,49273
164,95618,27301
165,108476,26816
166,120968,33520
167,118248,45032
168,108864,32269
169,110613,44023
170,120729,49510
171,134639,60248
172,113975,30863
173,129173,38327
174,103998,25370
175,143218,48948
176,108604,32003
177,115768,36391
178,143937,59213
179,126602,30832
180,125183,34894
181,121366,21838
182,136146,47452
183,127662,42310
184,130962,37798
185,156977,34827
186,169281,55718
187,163486,47213
188,204269,85317
189,148997,34810
190,153948,38314
191,157414,50592
192,159301,28769
193,153068,29814
194,162184,42081
195,171811,27858
196,155648,55030
197,177720,50029
198,158105,44197
199,156630,39064
200,159052,44585
