iter,host_ns,dev_ns
1,819211,508605
2,393187,106513
3,382677,101374
4,343837,63857
5,333704,105235
6,475812,264143
7,270308,91879
8,372463,189361
9,238727,21012
10,329864,80249
11,365962,114403
12,444423,162101
13,526607,235376
14,388389,142524
15,367727,43857
16,390480,98112
17,264903,8074
18,246092,70795
19,266323,91532
20,240736,84825
21,279737,37493
22,278063,78374
23,300000,87376
24,286029,69788
25,250451,99391
26,273839,40839
27,280907,79967
28,233962,39217
29,299501,78878
30,364397,122167
31,317192,10059
32,282138,65503
33,437583,233836
34,250241,80015
35,321656,95133
36,333691,85824
37,282778,94735
38,328488,121334
39,297562,125087
40,289506,99613
41,378496,178777
42,293384,93416
43,264580,85570
44,256465,81158
45,288574,99314
46,305081,126514
47,361472,110860
48,335164,80334
49,283425,104821
50,196862,51429
51,345464,87133
52,358082,128765
53,266279,61355
54,330099,152141
55,246335,60224
56,252095,48046
57,346877,87982
58,219142,90189
59,278063,117406
60,277534,77709
61,275669,92103
62,288031,104293
63,465245,288689
64,406434,159263
65,470173,261001
66,304711,75615
67,438770,53559
68,374481,57761
69,390001,249135
70,244126,95630
71,235285,75952
72,273524,109653
73,273012,15843
74,369241,72962
75,332797,54817
76,329516,91743
77,214212,53064
78,341185,91380
79,251467,62815
80,336363,116933
81,251898,59392
82,258380,75921
83,415782,230899
84,332352,143125
85,176112,3963
86,210967,38374
87,509646,257344
88,461029,201364
89,306064,104686
90,326561,158308
91,319727,130528
92,267006,9728
93,328796,105093
94,366098,170562
95,489799,3737
96,645113,451388
97,394991,153614
98,159710,47518
99,139560,64206
100,72106,3188
101,152494,61933
102,140687,41153
103,127758,29736
104,176580,73993
105,320286,73711
106,301033,55123
107,251952,78530
108,237494,65678
109,300221,98219
110,249290,70408
111,270873,85104
112,374674,230140
113,247670,70025
114,236548,68664
115,312630,84431
116,450773,147972
117,408467,129590
118,519290,134178
119,243427,29594
120,184021,4166
121,230643,71028
122,201601,47310
123,339444,84340
124,274083,76330
125,258227,46204
126,264694,69044
127,305422,122767
128,244124,59230
129,293502,78009
130,380147,65662
131,365611,65896
132,408755,103319
133,217724,43087
134,315871,73822
135,361611,152967
136,306933,104652
137,299627,85838
138,244868,75065
139,234281,33745
140,345484,83070
141,433148,116666
142,375287,41310
143,395863,160292
144,266896,18291
145,379995,59981
146,594499,289521
147,464079,225218
148,362149,98685
149,313288,83054
150,366716,93859
151,279099,112758
152,350578,47435
153,361698,54668
154,224691,3944
155,387546,200596
156,302755,125987
157,317847,152183
158,358440,178698
159,482869,259505
160,416796,126968
161,221520,73327
162,291671,96331
163,300795,29497
164,319074,116458
165,189842,57272
166,450977,278226
167,248621,11337
168,305245,124078
169,347425,97513
170,349552,117852
171,241727,60568
172,369921,92332
173,361768,92202
174,415116,99645
175,222146,44107
176,395339,208547
177,269336,78128
178,260956,86654
179,263622,90642
180,185791,37872
181,250386,86044
182,260405,78898
183,218659,62173
184,258434,80488
185,173496,37686
186,331350,184768
187,341560,134260
188,300518,120696
189,255909,89784
190,256187,100780
191,283231,119100
192,285653,121643
193,219899,59955
194,232442,43685
195,683791,67794
196,329924,102694
197,265698,103420
198,307855,108004
199,276742,93269
200,379824,103284
