iter,host_ns,dev_ns
1,356480,106070
2,371912,87405
3,417221,72525
4,324518,64784
5,433877,152355
6,327556,114230
7,198795,29842
8,276744,83232
9,714993,466783
10,293207,66487
11,404495,120343
12,277069,77229
13,326964,80994
14,309407,67026
15,253498,61715
16,253390,75273
17,203017,9948
18,278351,65124
19,372804,116220
20,306961,91692
21,255494,43279
22,213332,72896
23,290500,127550
24,292704,47467
25,417320,160235
26,210299,43458
27,240470,68992
28,224834,49591
29,449460,206248
30,416739,76602
31,311028,51734
32,236300,4147
33,229125,4698
34,237970,4010
35,357753,120798
36,601446,331680
37,477040,126042
38,358031,146871
39,274161,70123
40,298107,53666
41,303139,79644
42,328384,135428
43,308723,114388
44,502471,239548
45,353042,43114
46,254750,3539
47,222774,12306
48,317708,42627
49,302313,77223
50,332510,109501
51,315754,59561
52,369594,39856
53,325865,90362
54,328817,109378
55,420182,211011
56,239620,94257
57,233752,67003
58,193928,45000
59,228234,47803
60,226386,83419
61,215685,51858
62,255390,92825
63,344481,129292
64,290911,116531
65,233624,72894
66,232679,88808
67,267000,86745
68,231399,55228
69,278689,87317
70,199057,55266
71,182174,42575
72,286469,113451
73,299363,119011
74,274623,70179
75,248468,75780
76,277172,99828
77,334316,165245
78,260225,78626
79,328540,152424
80,260438,95060
81,254505,71545
82,227539,62582
83,272440,110071
84,327783,153415
85,257202,66254
86,456029,275942
87,254768,88814
88,260584,79613
89,279468,72086
90,229020,71752
91,267230,96667
92,247343,58345
93,253333,68873
94,312740,142390
95,314151,124964
96,207910,15169
97,191363,48397
98,188709,53246
99,309168,102590
100,431433,247282
101,459651,233620
102,297374,95619
103,251292,78795
104,284819,90491
105,235165,72376
106,235730,66467
107,247393,71217
108,207944,54055
109,218560,59718
110,177059,30661
111,294376,122799
112,441000,255908
113,247038,60048
114,267027,51267
115,257548,48174
116,334578,53603
117,262277,74690
118,259981,111400
119,233646,101981
120,256869,73452
121,333881,90292
122,400029,165093
123,507417,227871
124,301276,94120
125,242560,61203
126,276637,39133
127,451938,191496
128,258015,88357
129,356462,177123
130,353008,169141
131,371928,159385
132,288823,97672
133,313425,114426
134,239009,85918
135,404254,127598
136,452597,124846
137,367102,86639
138,321657,92250
139,220432,30072
140,217413,33481
141,617176,423501
142,318783,95152
143,181923,26068
144,344741,154067
145,269829,74211
146,285698,108880
147,296494,100880
148,211640,30163
149,306076,105518
150,323317,130726
151,160098,31670
152,279270,104370
153,498765,41298
154,402258,75255
155,377194,49606
156,328819,73693
157,310107,77347
158,188162,59380
159,411836,212152
160,324489,103820
161,306707,81649
162,312171,111090
163,275869,86460
164,388753,50648
165,270465,69933
166,204081,64175
167,271644,98238
168,239224,76500
169,264102,101474
170,252352,93292
171,244894,66759
172,253539,87484
173,307285,109368
174,262556,101634
175,278487,116849
176,262475,98260
177,323868,94102
178,281149,105841
179,323755,113472
180,284921,108041
181,253668,106368
182,259954,76135
183,279013,67131
184,449936,3488
185,362170,56373
186,275883,91795
187,260044,87596
188,248335,88030
189,167126,11674
190,293412,139468
191,385301,147839
192,305994,94064
193,258799,64578
194,317733,113856
195,268007,84545
196,169382,29820
197,219922,66272
198,344032,154526
199,314444,120365
200,238166,54528
