iter,host_ns,dev_ns
1,55499,16050
2,65259,14406
3,47702,18565
4,46942,7590
5,60517,17373
6,58254,19765
7,58932,18028
8,56018,20190
9,57198,7674
10,62313,17654
11,55566,16194
12,51823,12907
13,38309,1594
14,327948,118498
15,290154,84078
16,308506,107943
17,293023,68203
18,334353,92919
19,219111,43442
20,392785,108475
21,401678,199434
22,283802,97152
23,312751,110778
24,363882,183281
25,314591,80605
26,267583,4751
27,281119,10139
28,341233,134436
29,217161,3686
30,308786,93700
31,300673,80215
32,236887,29410
33,250118,58701
34,194549,56706
35,341415,58356
36,281811,86422
37,263543,67973
38,513848,278745
39,225045,96493
40,381587,98113
41,366448,148952
42,236770,68204
43,229590,50071
44,224680,56605
45,343694,101579
46,237578,69413
47,305355,118627
48,349823,148538
49,239698,70816
50,256684,59051
51,291836,70330
52,170257,24487
53,263816,92335
54,263499,99610
55,200874,64859
56,149897,24606
57,242262,83358
58,231800,70639
59,315066,148097
60,195816,51290
61,203355,46549
62,269948,100454
63,264118,102031
64,249803,93956
65,225792,73143
66,310673,101287
67,245526,82707
68,214149,62337
69,163196,26360
70,272093,93845
71,309123,94419
72,301432,121331
73,287213,92830
74,231813,69969
75,287674,107412
76,276264,81825
77,257251,57184
78,240365,62105
79,241203,85490
80,302222,109903
81,247141,68826
82,269472,92693
83,274751,75805
84,273847,75307
85,255586,79439
86,241354,80929
87,219825,66363
88,268378,101531
89,242711,83727
90,244484,71585
91,507991,71095
92,332339,113237
93,316423,18388
94,350626,86110
95,195311,7670
96,414860,60599
97,384699,140607
98,182609,5580
99,362612,69309
100,220872,53633
101,264817,84285
102,190598,34420
103,436872,183201
104,220627,57867
105,436240,254238
106,247572,112461
107,259138,114861
108,386822,161842
109,309221,85709
110,256562,109432
111,322597,102917
112,348013,115687
113,304695,114408
114,289748,16402
115,339745,66662
116,387618,137273
117,326284,4987
118,386817,175263
119,254081,56962
120,311041,84757
121,294065,100868
122,241910,56977
123,241332,82842
124,257454,88586
125,285363,132996
126,365317,184707
127,263780,78945
128,214953,11626
129,180672,53770
130,261213,76682
131,282242,101736
132,262284,91953
133,390344,126424
134,348975,136937
135,227804,23362
136,249944,79477
137,255666,93880
138,225074,50942
139,240894,78742
140,244727,36547
141,284159,106684
142,296100,119538
143,231123,74673
144,265176,92103
145,245315,46594
146,383271,87046
147,306164,146558
148,272729,112465
149,461690,308974
150,243018,78500
151,339831,150536
152,275771,124532
153,235237,72225
154,199568,18765
155,345324,91536
156,343304,117455
157,458398,168573
158,368716,84375
159,293986,80920
160,260359,117387
161,284762,93924
162,224621,45612
163,418337,189561
164,169713,3806
165,155126,38662
166,369435,106435
167,242592,46038
168,309191,87564
169,202916,54369
170,290132,112373
171,274706,92303
172,243790,86152
173,291147,91069
174,214125,23852
175,177074,3650
176,242989,54095
177,305322,44280
178,451947,102362
179,409816,137161
180,389047,133865
181,276906,80620
182,308931,76964
183,273603,94350
184,379953,183776
185,352188,100957
186,281974,126444
187,271787,110269
188,355164,113993
189,293570,127434
190,196379,9306
191,226366,34184
192,276765,108665
193,223054,70517
194,230914,78923
195,271019,90719
196,258123,105946
197,211090,66687
198,401702,225255
199,275970,122121
200,202312,66880
