iter,host_ns,dev_ns
1,60088,12572
2,66248,17620
3,48055,6484
4,63815,21197
5,68371,22423
6,60862,19112
7,62710,21848
8,62835,16164
9,64321,17271
10,45617,6887
11,78187,31689
12,58360,17121
13,51497,12060
14,54609,11355
15,144137,51306
16,115753,33085
17,111996,43654
18,125184,38989
19,111166,28869
20,134469,38993
21,118845,30595
22,132740,47089
23,107338,39365
24,142302,59151
25,110604,18524
26,125015,37537
27,305637,59648
28,155269,60126
29,125103,45964
30,98082,29562
31,108249,32025
32,117478,34195
33,122403,43234
34,102667,25569
35,128648,53090
36,117431,30902
37,131162,50832
38,122968,40929
39,86942,18423
40,125866,41983
41,116004,36135
42,139512,35189
43,157027,28472
44,154338,45508
45,147692,52874
46,149111,40143
47,146569,38309
48,130730,28505
49,130167,35254
50,151010,43132
51,146445,53611
52,160314,51600
53,141507,41166
54,129867,25287
55,140871,38604
56,142893,38367
57,142385,38768
58,193394,44798
59,158707,52195
60,155580,54034
61,162947,62893
62,158783,60058
63,146274,45407
64,151001,42115
65,152634,53398
66,156710,49829
67,122249,22467
68,99696,17008
69,139622,41360
70,149059,33002
71,140214,40697
72,137150,47935
73,127342,23374
74,164808,46271
75,140558,18309
76,169635,55041
77,144976,40891
78,134091,30994
79,150654,14731
80,155492,53110
81,128815,31169
82,155917,49047
83,142526,39039
84,129953,32178
85,146947,45538
86,143545,41448
87,141508,40735
88,158296,29976
89,141114,43769
90,138563,32079
91,164922,53938
92,174440,39799
93,152665,28102
94,165317,50150
95,137265,47699
96,140826,52649
97,104448,31611
98,132373,41089
99,134562,46624
100,148024,45971
101,125360,40390
102,135925,45151
103,110782,28324
104,183400,85761
105,150790,29395
106,178280,59007
107,171758,56537
108,139969,24561
109,148251,42851
110,148939,42563
111,171936,53811
112,159310,30902
113,139199,32571
114,150687,42063
115,142293,41893
116,161296,49652
117,163930,52181
118,161776,52558
119,175643,54241
120,185730,73498
121,139870,40934
122,165411,48233
123,123534,43551
124,116227,42393
125,156451,65781
126,127777,35554
127,138554,57502
128,133365,39888
129,147133,50564
130,94197,19958
131,92870,16294
132,152269,36494
133,138322,27145
134,147137,42444
135,145496,40869
136,156491,42129
137,153217,48542
138,163272,49378
139,170992,66072
140,147281,39294
141,173945,56196
142,152292,34575
143,155731,50257
144,140725,35636
145,156393,42863
146,173634,51045
147,159128,31895
148,138579,18159
149,132181,23233
150,180137,60181
151,163285,48749
152,229795,60945
153,187088,56842
154,204046,95290
155,172531,60430
156,162759,51450
157,153624,56778
158,198486,95961
159,189030,101195
160,125469,46374
161,133565,38516
162,163273,71435
163,109026,27569
164,80508,14986
165,150603,64263
166,120988,28410
167,96325,19284
168,122122,44420
169,169771,86904
170,127753,43136
171,166455,57484
172,149412,51404
173,239580,113199
174,175127,65868
175,129974,36898
176,148653,45847
177,81549,14892
178,105052,35163
179,158044,62066
180,167525,79006
181,140490,30459
182,152736,63399
183,146621,63652
184,143174,50192
185,153650,60899
186,116723,40196
187,129845,36958
188,116225,45247
189,147524,53996
190,136978,51893
191,144435,54452
192,119998,42877
193,92690,19734
194,138002,41216
195,174649,60085
196,161316,71138
197,123906,38874
198,146410,53024
199,126165,22550
200,103594,28679
