iter,host_ns,dev_ns
1,109153,30636
2,143509,24580
3,136971,33328
4,265793,90057
5,225191,74829
6,378186,156780
7,422301,112960
8,324062,134366
9,340289,110174
10,366810,174193
11,357681,179813
12,255542,59850
13,286445,73748
14,277065,87516
15,284550,83037
16,213881,51126
17,325990,134536
18,165892,6206
19,327479,113008
20,359384,94932
21,368156,82674
22,316594,8658
23,372307,48802
24,250534,64333
25,268057,96382
26,222488,39031
27,279217,106375
28,348750,116654
29,320635,122168
30,265062,91844
31,263897,72957
32,341297,145824
33,300088,93802
34,267589,87720
35,226844,70491
36,213659,5635
37,316880,115099
38,313512,110596
39,310887,122251
40,352080,51908
41,274566,77376
42,259499,53845
43,287174,72210
44,316062,85940
45,388930,92797
46,308734,117322
47,288937,122412
48,354802,71354
49,319429,117430
50,278785,86141
51,324159,131645
52,258505,47354
53,432483,213062
54,265801,80348
55,323624,115633
56,247480,77985
57,285858,51611
58,371424,108456
59,248260,73648
60,244813,90482
61,308911,107510
62,308424,100466
63,428786,73162
64,389864,113107
65,295787,68203
66,297548,89240
67,259324,78559
68,383762,153123
69,366215,77492
70,439790,175280
71,414227,117364
72,414076,171669
73,335091,88143
74,324797,72372
75,307097,56668
76,283193,85629
77,362737,86173
78,273327,71108
79,196189,52145
80,260058,81709
81,296726,108831
82,204967,43042
83,294581,79885
84,180837,4246
85,318541,60473
86,339473,76778
87,227915,66789
88,206967,53283
89,223286,68112
90,209747,69266
91,217297,74786
92,198236,59122
93,201417,89870
94,288905,131832
95,240928,69369
96,302295,99631
97,267186,102046
98,262893,77885
99,162068,38017
100,258217,101422
101,262386,110045
102,245897,96170
103,239499,76542
104,270785,107522
105,254148,73970
106,187329,45955
107,375621,190205
108,267078,91522
109,205814,71278
110,236508,65824
111,313080,107816
112,386146,125309
113,403275,183049
114,272216,16792
115,208570,34184
116,300392,92217
117,258329,75694
118,327198,137708
119,258302,87969
120,247386,74422
121,256551,72502
122,215031,62885
123,284546,126641
124,176337,35730
125,249294,87505
126,284359,94564
127,279012,117519
128,178949,41865
129,689590,243171
130,245832,7924
131,147636,31046
132,98057,41607
133,103872,37119
134,84406,28612
135,93862,34512
136,94655,32215
137,99981,34296
138,94357,35364
139,77280,20018
140,93914,37418
141,145968,53317
142,251931,104172
143,227803,62628
144,254962,94407
145,186773,52195
146,250929,86693
147,230792,90124
148,270367,105946
149,251000,83084
150,255320,97658
151,247049,61104
152,266857,86920
153,238344,82063
154,272004,100900
155,261590,78162
156,265279,43635
157,509935,220156
158,324514,74735
159,404896,147567
160,295664,85704
161,337799,100000
162,291884,76715
163,292425,105543
164,263364,61212
165,315048,123706
166,435886,115719
167,322074,59406
168,355412,83097
169,349956,118521
170,289692,106724
171,320993,69022
172,287514,62928
173,367265,94380
174,588358,326416
175,238188,11778
176,331872,88044
177,305312,83321
178,379674,100092
179,268821,51611
180,333004,62855
181,309097,104614
182,332163,115610
183,226286,56865
184,267910,93959
185,275044,48799
186,311873,78206
187,321578,74548
188,243069,3594
189,248222,66222
190,369789,53731
191,366843,82480
192,257669,36999
193,261395,92651
194,287103,87471
195,226473,49909
196,246875,87824
197,248170,88656
198,276062,93317
199,292927,81666
200,335858,192717
