iter,host_ns,dev_ns
1,55380,22428
2,51239,11866
3,62465,22654
4,55015,16325
5,76126,34928
6,65620,17951
7,65336,11712
8,68178,16411
9,131871,52108
10,314479,192563
11,167457,44497
12,185498,66355
13,165129,55348
14,160457,49037
15,207436,82785
16,189045,65860
17,168684,48146
18,165532,48563
19,237489,111577
20,253428,130474
21,158612,51794
22,200793,74500
23,202492,58077
24,180581,51881
25,166387,63780
26,211632,90315
27,200366,78545
28,172143,44698
29,173806,60911
30,184420,58710
31,211747,92790
32,164706,44609
33,143042,6008
34,205422,77607
35,179899,67111
36,180789,56533
37,186332,67564
38,204316,85522
39,207704,74908
40,177346,53338
41,612762,13992
42,264242,102513
43,176219,61856
44,123889,45166
45,104209,38584
46,88284,7733
47,112942,32216
48,104842,32320
49,133147,59574
50,111682,35313
51,127115,44108
52,196550,68846
53,203220,82950
54,163935,46601
55,242513,119507
56,175478,62721
57,198720,66466
58,170419,42418
59,151328,56186
60,179539,67346
61,202481,82051
62,197132,80984
63,179413,63821
64,208981,61323
65,184977,64828
66,131217,24710
67,198595,74705
68,217800,97027
69,190035,74582
70,173948,61167
71,179566,42846
72,206351,67136
73,175537,56615
74,175738,62030
75,113572,19056
76,174307,60449
77,170715,63671
78,162607,60032
79,219893,98377
80,173846,71663
81,174839,56481
82,182451,73170
83,189223,65804
84,217994,105139
85,148038,50409
86,182818,64268
87,164404,60016
88,173418,56614
89,148353,56753
90,191998,80896
91,178118,66262
92,206028,83916
93,184372,46473
94,176571,64145
95,203053,92073
96,178958,78287
97,155491,35418
98,187003,73246
99,533566,101215
100,169233,65278
101,119690,29693
102,185038,60737
103,225191,115872
104,191542,71420
105,123677,14937
106,170821,56937
107,152685,31356
108,187515,30901
109,255956,95735
110,247609,81457
111,239175,54358
112,159269,55505
113,157211,33448
114,178587,72229
115,162381,55021
116,169670,55465
117,186483,58317
118,196064,73649
119,149090,38852
120,192346,78620
121,269565,163656
122,162793,60499
123,199824,94041
124,169297,53288
125,171892,61257
126,154573,32906
127,173197,50449
128,160612,44525
129,164274,51955
130,160713,55355
131,127071,30101
132,191755,67467
133,162254,51471
134,194806,77063
135,156693,46104
136,210044,81329
137,157854,46139
138,169011,42150
139,171728,42744
140,179540,69975
141,188296,79042
142,179514,62536
143,164285,36871
144,145460,35282
145,206592,79375
146,166643,54799
147,227505,93131
148,173545,59251
149,198666,71276
150,143895,40802
151,183978,67599
152,169635,49845
153,151375,36660
154,115799,22643
155,169887,47405
156,291067,112895
157,257125,84043
158,166491,10250
159,180374,52808
160,309438,182150
161,213865,85577
162,198020,56893
163,185698,64113
164,191569,66749
165,185427,46674
166,193607,59287
167,209363,87134
168,212379,76400
169,172539,52758
170,186852,51451
171,183959,59506
172,144730,29805
173,189953,52068
174,172372,22452
175,207822,67478
176,202255,61366
177,160891,36584
178,204784,53325
179,195188,61615
180,239742,69475
181,236219,60603
182,232438,58692
183,175844,18537
184,146398,48393
185,222575,92221
186,223405,49508
187,201375,49610
188,166121,2535
189,201763,54007
190,184538,56966
191,193257,56104
192,200021,56457
193,240957,88297
194,261069,103509
195,204946,44567
196,227320,68877
197,270144,110700
198,192625,57900
199,178020,47725
200,218585,78884
