iter,host_ns,dev_ns
1,43333,11289
2,52660,22918
3,37765,10204
4,57940,18861
5,49536,12762
6,35616,7030
7,49783,15972
8,91144,27285
9,94214,38530
10,97228,39955
11,129020,49025
12,102998,30149
13,85390,7029
14,101460,29085
15,94392,27704
16,89644,21441
17,66435,12687
18,93066,27052
19,108557,24421
20,139533,36569
21,123591,21077
22,142196,49948
23,121838,32583
24,112130,25400
25,113378,31480
26,114535,22433
27,132574,38673
28,115579,29478
29,101935,23746
30,116342,39357
31,104425,26318
32,95308,14855
33,94311,26540
34,91639,15871
35,100490,36405
36,124594,57506
37,101346,38995
38,91735,27377
39,103330,44850
40,83604,34675
41,95788,26583
42,93217,27282
43,144894,82947
44,118725,51855
45,97889,33093
46,96033,27168
47,145118,84922
48,158270,94918
49,95455,28919
50,102570,21019
51,104161,31634
52,71571,16498
53,95952,26584
54,91057,30409
55,104196,35633
56,108460,41474
57,98075,32701
58,79883,21875
59,113635,53120
60,80853,26825
61,89165,30809
62,87976,25863
63,82339,28939
64,96825,34329
65,83101,28156
66,90303,35153
67,104754,45248
68,99504,40314
69,89365,30948
70,117419,46685
71,94905,35183
72,89139,34513
73,148213,80816
74,146866,91760
75,117935,48771
76,86798,27578
77,110279,46538
78,65583,16242
79,99372,37956
80,109305,48296
81,75994,11490
82,80785,22799
83,91935,37345
84,102442,40756
85,91023,28852
86,99187,38509
87,108903,35866
88,91798,38989
89,77404,15242
90,65845,4398
91,107301,49749
92,76740,18747
93,91918,29339
94,87312,23874
95,97338,29337
96,103292,43974
97,106433,43548
98,104133,43004
99,99720,30597
100,160083,87615
101,83864,26784
102,93440,33728
103,120186,48762
104,169719,103154
105,111997,45672
106,107420,37100
107,98187,36086
108,96555,29945
109,91680,23713
110,100321,34311
111,107612,43952
112,128577,64222
113,97802,37779
114,100597,37310
115,99951,34872
116,100398,40359
117,76842,17673
118,126633,62920
119,88490,26082
120,93776,29003
121,95123,38340
122,91973,28241
123,98513,39620
124,95857,32535
125,104955,43136
126,100552,32015
127,95217,29353
128,102727,35260
129,105028,39941
130,104119,39321
131,96925,30151
132,129416,43479
133,163117,71801
134,116255,21877
135,118158,26947
136,104767,26891
137,114491,27704
138,115154,30617
139,132402,49405
140,117638,32737
141,162780,79570
142,103122,22029
143,112833,32677
144,123756,41738
145,127204,37165
146,113970,29284
147,116065,36236
148,99004,32292
149,108170,41657
150,107508,46636
151,99928,39034
152,108423,40063
153,137900,41357
154,105526,42244
155,95084,32005
156,100963,39619
157,117083,51785
158,110194,40307
159,111601,41730
160,87765,27967
161,104465,47287
162,110162,37334
163,87873,20173
164,114281,43812
165,102414,46387
166,130459,69551
167,103419,32921
168,103124,35598
169,99747,39737
170,151742,85576
171,114844,49840
172,102056,41674
173,104229,27258
174,103890,46056
175,124178,62232
176,98263,41464
177,105217,48187
178,111449,44511
179,96794,39487
180,94472,27114
181,88746,33635
182,118515,43193
183,76683,18230
184,87416,25708
185,84818,20876
186,96939,36339
187,99698,38979
188,117881,60534
189,157227,95160
190,114770,46609
191,90355,34792
192,95678,38395
193,105129,47002
194,82816,24684
195,81624,26767
196,127087,59486
197,145570,77601
198,103541,39317
199,102866,29891
200,107704,29777
