iter,host_ns,dev_ns
1,88508,20433
2,79057,18361
3,93119,36863
4,83246,24716
5,83434,27768
6,69726,26971
7,53374,15716
8,60321,17562
9,69119,22449
10,55860,10742
11,54458,6046
12,78627,20311
13,80953,21340
14,83964,23084
15,218041,99659
16,307210,73701
17,994889,635004
18,367538,150791
19,169080,27612
20,88502,25465
21,74179,27968
22,90203,25191
23,60917,24295
24,113990,60732
25,76463,21388
26,87417,40742
27,51019,8058
28,193649,70040
29,250670,85766
30,260998,89744
31,216424,81277
32,236366,81055
33,161690,30051
34,263195,101035
35,275692,115035
36,183786,15503
37,235767,73611
38,182012,32396
39,157298,33672
40,227403,69401
41,243564,95983
42,239988,96331
43,295852,138583
44,169414,43437
45,248501,76828
46,197289,59225
47,210634,68419
48,236877,80584
49,156775,3018
50,208961,65017
51,249622,91532
52,224365,77284
53,219570,70617
54,174311,43957
55,555364,399579
56,267173,112800
57,248707,13127
58,364202,137448
59,489249,237577
60,248766,81319
61,184780,39138
62,242750,71283
63,242470,71966
64,226759,84998
65,226462,71337
66,262316,111520
67,361131,196946
68,186001,44762
69,204756,62838
70,232371,88913
71,189999,35963
72,224478,59650
73,237423,83226
74,239111,47503
75,339675,122729
76,210010,46574
77,254604,90847
78,322759,159996
79,254855,71276
80,178154,35769
81,317712,116294
82,277834,85353
83,132292,20598
84,245556,84588
85,230499,57730
86,246239,75827
87,324851,177586
88,194707,47346
89,211952,54654
90,258799,100639
91,248809,81619
92,249336,70411
93,206677,61433
94,146754,29325
95,190495,49828
96,217047,63752
97,194185,62452
98,266008,83039
99,204701,58956
100,234128,84672
101,235957,79297
102,231216,66423
103,207552,67305
104,224730,37121
105,271249,83145
106,259075,73327
107,287870,63433
108,245782,82230
109,259520,63179
110,193662,47024
111,248641,75328
112,221614,72335
113,199081,50325
114,235882,74643
115,275061,81935
116,299476,64141
117,273288,6630
118,234515,80448
119,198273,52855
120,205457,13837
121,179562,34315
122,169679,43991
123,209335,68206
124,285273,78761
125,264495,76234
126,202136,11598
127,127955,19281
128,270965,69200
129,190145,36575
130,251358,81695
131,198836,62964
132,203721,60717
133,169930,43986
134,192418,57633
135,302418,92841
136,237062,64841
137,220459,60422
138,176785,52610
139,215939,79303
140,161299,47858
141,193038,83890
142,190172,51429
143,183257,47408
144,178631,62844
145,196448,76949
146,232566,104342
147,223588,84783
148,208660,65345
149,308547,166630
150,207035,71385
151,199844,76792
152,176119,61560
153,196648,57371
154,192418,75187
155,192111,60507
156,273486,151536
157,206086,81294
158,239087,87989
159,189795,64884
160,194940,69058
161,200154,63353
162,207424,77233
163,175262,67764
164,229010,88371
165,230042,109260
166,194511,70648
167,175711,59748
168,175571,54846
169,167059,41525
170,178254,62154
171,209824,80849
172,188346,52736
173,225765,97112
174,204982,80039
175,218740,79663
176,207252,91358
177,178899,60577
178,199559,68417
179,245070,125750
180,188589,67166
181,171181,45519
182,220830,96834
183,213218,77991
184,320219,195048
185,205493,91710
186,227435,72675
187,164648,49163
188,188673,65661
189,210355,98130
190,554024,406358
191,200069,66703
192,215057,84249
193,234925,101305
194,261306,133714
195,178099,65412
196,194581,53684
197,215810,92151
198,189443,69238
199,194955,62285
200,184779,65909
