iter,host_ns,dev_ns
1,183687,111710
2,99029,30127
3,102791,36894
4,124426,27854
5,114376,38621
6,285165,49676
7,301688,108809
8,635252,38929
9,602475,257550
10,239166,69377
11,148089,10484
12,138569,16637
13,162729,9467
14,158298,41617
15,155375,31787
16,255894,72277
17,277588,85079
18,270442,104127
19,234414,18489
20,272777,59234
21,281286,47926
22,353163,105261
23,311974,69748
24,380194,100964
25,286180,63012
26,384377,199581
27,300011,95357
28,321725,41323
29,289347,58807
30,271091,39820
31,301296,97645
32,260310,55007
33,333885,114360
34,299775,75438
35,271719,59739
36,295565,69914
37,335285,101612
38,316845,117094
39,288305,83150
40,324373,126760
41,414279,140102
42,421747,87500
43,397379,103656
44,425953,35527
45,380910,122561
46,390637,74357
47,239013,60292
48,348271,141213
49,265324,65827
50,348172,138938
51,421446,156073
52,238698,3887
53,400304,120410
54,453288,83172
55,366306,54069
56,285905,91276
57,400233,181226
58,329027,136635
59,423693,134891
60,410618,94327
61,410629,117846
62,581211,92028
63,393338,119140
64,384337,62830
65,244341,41265
66,382189,150241
67,171798,29893
68,348860,65177
69,429643,55210
70,241665,45951
71,253018,63630
72,202983,36741
73,268601,52091
74,302709,71907
75,444092,127205
76,280129,29513
77,321961,60427
78,404654,138230
79,331744,6573
80,363641,130163
81,274569,66295
82,274719,57871
83,429319,51944
84,243888,10510
85,524987,3817
86,360111,75846
87,357185,56307
88,338868,152155
89,198323,45985
90,335419,113555
91,358903,146791
92,274051,62777
93,251455,57531
94,257155,28862
95,277425,81331
96,206739,74495
97,365295,122567
98,328351,122851
99,306634,83885
100,268651,68231
101,282916,104189
102,269433,57976
103,338447,139890
104,340832,125432
105,291017,32220
106,274125,66101
107,348785,108987
108,249068,72925
109,341514,71793
110,212185,3630
111,222794,38419
112,283643,69379
113,389314,106309
114,305769,85999
115,255838,67493
116,289152,70133
117,260252,81594
118,298885,103339
119,323498,64848
120,375535,57440
121,307821,41368
122,295018,20943
123,264547,69220
124,322111,158354
125,389601,199404
126,253359,94779
127,202396,68937
128,325099,192725
129,242618,66188
130,269973,92070
131,323928,115120
132,278640,99576
133,216879,69475
134,219708,65462
135,208937,63745
136,345164,187836
137,222307,64948
138,214189,65949
139,204934,54123
140,289085,68930
141,250406,70471
142,274342,84307
143,294207,89724
144,191597,71932
145,201723,75731
146,231071,89093
147,215842,72703
148,212153,73070
149,194212,54079
150,220708,78662
151,306521,144063
152,245276,95229
153,275144,106641
154,232152,54987
155,215677,8591
156,145047,9987
157,241608,70365
158,217203,55447
159,344354,189757
160,212139,55801
161,185651,50647
162,209418,63362
163,223121,56969
164,216968,74505
165,198499,62723
166,189403,54673
167,245373,77546
168,221306,71383
169,208015,73954
170,227930,79891
171,239839,84514
172,231826,88398
173,258662,70742
174,295833,124799
175,208642,78280
176,293625,156998
177,237368,119541
178,210316,72719
179,278065,112725
180,149460,31908
181,285691,133448
182,253776,91937
183,440707,10493
184,335056,147953
185,209836,44123
186,216434,76959
187,223198,70780
188,202365,57000
189,234335,93932
190,200019,52256
191,230554,93909
192,252612,80334
193,189673,28377
194,287700,65917
195,272970,64066
196,265799,80810
197,268356,40641
198,186553,4528
199,205661,41736
200,283116,104815
