iter,host_ns,dev_ns
1,105117,20784
2,101170,29862
3,101263,22794
4,362119,91408
5,376738,54007
6,320184,56111
7,246194,69490
8,550180,354607
9,281546,76916
10,369327,191326
11,227622,81234
12,296528,107789
13,298801,125190
14,253856,79374
15,279049,79620
16,234754,75470
17,304915,111229
18,235476,67763
19,215830,44457
20,261778,62035
21,302267,117214
22,254207,75211
23,241889,37182
24,248654,62381
25,264264,93219
26,244634,81054
27,1189472,1020436
28,323377,101213
29,273924,84895
30,317327,136466
31,339802,116537
32,327436,102483
33,287636,105568
34,254659,18319
35,295814,51973
36,232318,19802
37,211498,46615
38,292688,71145
39,230548,81449
40,312082,123741
41,235429,70194
42,258583,88276
43,238464,71105
44,305194,131403
45,223758,68029
46,235258,88017
47,236305,69985
48,282771,113932
49,242103,84150
50,254693,80670
51,274298,118670
52,235276,77234
53,245214,88440
54,246571,75447
55,229501,65103
56,223128,53972
57,219118,64799
58,304254,113776
59,227064,88982
60,279528,100496
61,380658,193349
62,245888,74501
63,263749,103562
64,237978,71691
65,196511,50848
66,228460,79834
67,227619,69980
68,229377,73327
69,209763,62835
70,218046,67594
71,230914,83189
72,269592,110324
73,284951,64502
74,290399,92884
75,284668,93789
76,307230,86318
77,221676,44360
78,255958,88296
79,210640,49362
80,307522,122754
81,252897,92660
82,249238,87006
83,235287,62698
84,348349,138740
85,223928,70895
86,192848,37919
87,240845,66591
88,247880,82026
89,278536,108727
90,252958,98987
91,222328,64569
92,223045,56043
93,173203,40011
94,256397,109567
95,260933,79474
96,244765,37240
97,367473,93574
98,401484,130651
99,359689,145390
100,329542,51696
101,316415,93492
102,311550,95103
103,238289,82432
104,218767,51461
105,197680,68819
106,222563,88590
107,187816,70026
108,219074,76853
109,215409,73869
110,164450,32795
111,227525,83838
112,437663,295682
113,223552,67751
114,212316,65575
115,261620,98689
116,209849,72806
117,177219,45924
118,214018,94214
119,252933,110879
120,258046,106574
121,225653,80882
122,146430,5826
123,199979,51736
124,257172,102343
125,317736,186706
126,274462,112304
127,227688,88626
128,200206,61975
129,262526,104735
130,187736,50164
131,186956,59266
132,192329,74331
133,197939,75406
134,160569,37900
135,205811,88902
136,192995,56101
137,228788,84310
138,262916,105450
139,208673,76417
140,245802,88851
141,243115,120660
142,242607,97177
143,218379,74006
144,196901,62047
145,172215,50861
146,202951,79975
147,223755,73677
148,202867,62722
149,269892,136667
150,240829,109487
151,234797,54233
152,203949,64945
153,220912,36164
154,280520,90950
155,262328,86495
156,293964,106362
157,210295,84062
158,210565,76989
159,191387,43632
160,218762,76254
161,171374,35225
162,205091,50918
163,187736,48806
164,322404,190452
165,210496,70299
166,238778,77596
167,218042,76380
168,194481,48831
169,217377,78333
170,217461,84116
171,206986,62011
172,205250,53257
173,573344,80026
174,227273,46877
175,211803,60549
176,189849,31306
177,164334,33372
178,148197,44166
179,125772,33118
180,149461,42169
181,180910,80670
182,161187,66560
183,230196,114666
184,195978,69364
185,162578,44007
186,237954,70526
187,172220,51354
188,282905,136609
189,186793,53539
190,215096,73619
191,198624,69235
192,199036,67384
193,180956,59082
194,190034,75277
195,218160,71806
196,480722,298007
197,253316,47435
198,207196,9499
199,287967,57050
200,287211,69189
