iter,host_ns,dev_ns
1,70774,20997
2,68824,22708
3,49074,14952
4,59729,14874
5,115250,41938
6,163747,33174
7,105312,6121
8,119903,14753
9,166499,52431
10,123140,35515
11,131342,38270
12,132861,38803
13,108750,21559
14,136785,36794
15,213196,105842
16,126983,19001
17,130667,28403
18,148516,25084
19,153236,42052
20,127856,29994
21,128618,32138
22,131289,30978
23,114772,23325
24,80454,2518
25,106023,35977
26,174754,41647
27,175469,76776
28,154588,48594
29,185502,56509
30,366648,27529
31,125091,23279
32,123439,28831
33,172823,34811
34,152566,33723
35,134853,27583
36,120956,28570
37,133028,29819
38,143966,28892
39,146916,35768
40,123945,21507
41,141824,40891
42,111462,23375
43,128191,46062
44,102518,30275
45,44490,9045
46,58990,15103
47,30332,4290
48,45821,11724
49,52004,14816
50,38828,1928
51,49153,21760
52,52464,9640
53,51321,19435
54,51922,13314
55,62565,8950
56,59287,11403
57,79164,27447
58,49765,1702
59,61009,23124
60,48682,13794
61,51651,10083
62,47157,11564
63,145204,20883
64,40840,6395
65,57652,14400
66,56076,15289
67,44131,8367
68,43895,6393
69,354322,20306
70,60980,17780
71,68128,26801
72,53128,17592
73,49799,14215
74,64512,24607
75,51458,14669
76,71401,13152
77,48011,12779
78,65946,21156
79,77068,13538
80,65422,8077
81,61623,7331
82,69641,17389
83,66210,20943
84,62251,10132
85,74920,19214
86,68926,13703
87,63340,13659
88,66263,15366
89,60065,9930
90,60070,11094
91,60809,8582
92,63431,17226
93,64613,13419
94,90204,34794
95,66573,19423
96,75481,25012
97,65486,16076
98,43311,10502
99,50539,16873
100,52277,17128
101,67928,26453
102,63721,21333
103,95459,36425
104,66925,15578
105,64046,12065
106,96364,15236
107,65046,14202
108,57914,15268
109,63190,23723
110,55096,14939
111,51794,11657
112,54020,15752
113,52316,14758
114,62860,17605
115,72322,32126
116,61779,14706
117,40626,8177
118,62798,22954
119,58868,21989
120,59576,9332
121,61667,12102
122,67291,22777
123,57404,12266
124,76443,30148
125,53601,14064
126,49487,15064
127,57094,19219
128,56299,15890
129,54745,15972
130,78923,44027
131,55513,18145
132,59102,16158
133,69195,22728
134,69261,20767
135,59558,12095
136,60771,11714
137,75121,16016
138,66842,14357
139,65210,11864
140,75479,22747
141,66357,16897
142,47584,6939
143,55770,6687
144,59644,6252
145,71209,18814
146,58877,2065
147,42773,4787
148,67459,18508
149,64802,14545
150,75068,9494
151,58676,11301
152,68594,15583
153,64930,15112
154,70590,17842
155,66909,16691
156,63185,9851
157,65351,18215
158,66504,16766
159,67630,16584
160,79587,38174
161,21988,4959
162,52489,17864
163,40586,6101
164,78453,13586
165,56707,6209
166,70937,30778
167,71273,21529
168,54680,9438
169,58787,9122
170,73434,17830
171,67400,17504
172,68645,15439
173,76587,20264
174,65114,16200
175,63421,13905
176,34016,2308
177,44175,3640
178,60083,2897
179,71261,8510
180,62626,15736
181,62789,12974
182,56194,9595
183,65819,12050
184,82057,28876
185,101273,51392
186,66419,15078
187,66796,18137
188,81794,30117
189,109918,18019
190,71143,20526
191,66621,13071
192,71685,23225
193,67646,25858
194,47646,10986
195,54807,15074
196,60045,17069
197,53826,16934
198,60765,21614
199,58552,19788
200,72736,19413
