iter,host_ns,dev_ns
1,57004,20035
2,100812,64115
3,47026,14778
4,54455,17330
5,50779,15782
6,58701,22268
7,57262,14933
8,74239,38328
9,44142,17928
10,52358,18533
11,156322,73205
12,219484,80338
13,266031,65902
14,205919,59686
15,192960,49635
16,235495,94863
17,205795,59062
18,241730,89262
19,264045,97085
20,198861,56599
21,180262,29105
22,186559,48594
23,254240,76944
24,362358,141536
25,250263,57827
26,328732,101725
27,396572,69020
28,329394,80948
29,398889,72003
30,580609,280628
31,415872,233608
32,463416,102542
33,373111,136655
34,308990,121492
35,430233,94870
36,211049,12890
37,379103,64766
38,360844,121990
39,283746,135323
40,255280,59165
41,284923,82743
42,287239,87240
43,256187,76879
44,214663,47447
45,195327,45666
46,199371,61494
47,216463,57896
48,306229,143997
49,231394,67290
50,312366,130695
51,250966,79492
52,344744,156726
53,443890,252148
54,303962,101851
55,300865,90892
56,277382,90518
57,244291,13612
58,397857,70814
59,277893,79097
60,277667,45046
61,226894,51733
62,239201,65499
63,212099,60977
64,184080,43484
65,266205,86646
66,244531,70960
67,224013,63863
68,220659,87976
69,217426,61052
70,261677,72019
71,261898,77578
72,280659,118739
73,252066,73655
74,271636,121282
75,294854,115908
76,247770,82828
77,317691,130021
78,247241,76592
79,184979,54060
80,267666,79365
81,231242,73111
82,231554,94772
83,233010,59833
84,263293,91359
85,229486,80331
86,244167,91897
87,225162,79208
88,240103,99278
89,238226,71897
90,179450,46759
91,181430,53650
92,142769,27048
93,218846,69873
94,235011,91587
95,272809,114699
96,251319,71068
97,181519,46437
98,252980,94404
99,244244,93561
100,286984,122647
101,273824,52117
102,419688,120585
103,217487,3587
104,486161,220859
105,388184,103212
106,314674,72643
107,349347,69778
108,272468,58791
109,308545,93706
110,269163,54103
111,326854,123450
112,240844,80990
113,279215,118507
114,230117,67687
115,230395,76726
116,382670,156925
117,380618,167438
118,272371,80967
119,275405,51193
120,313057,133643
121,309502,116183
122,357370,54595
123,279191,87096
124,248779,48892
125,529492,241679
126,434675,72812
127,417774,114890
128,312204,92381
129,246688,60342
130,309822,100357
131,249715,73209
132,167681,27925
133,232438,56047
134,315951,73331
135,317600,29413
136,467422,150560
137,209050,4065
138,313314,118141
139,272744,100628
140,190967,61878
141,277216,89238
142,279124,98732
143,279092,75897
144,319417,140977
145,218715,64811
146,502660,305582
147,238446,58476
148,308234,115554
149,259152,110661
150,217660,12212
151,323679,71181
152,307157,123056
153,262012,81030
154,237442,67337
155,262208,120930
156,185949,50529
157,247589,97676
158,279885,57170
159,317622,115251
160,258930,64301
161,366427,112388
162,314486,20199
163,297082,90688
164,225881,48405
165,399947,183276
166,286407,68151
167,319359,38182
168,392132,79463
169,361361,119305
170,210948,41393
171,344949,174524
172,342383,150935
173,298158,99053
174,276375,41420
175,182536,14120
176,291605,99941
177,254993,97064
178,258497,93990
179,310537,92975
180,334592,59364
181,256137,73693
182,189178,54727
183,215086,96205
184,292144,96274
185,223802,38868
186,301521,127688
187,325207,127445
188,282906,63784
189,188570,39850
190,288929,116656
191,453588,285974
192,242769,81118
193,168669,29075
194,234430,58648
195,252930,68895
196,257985,99835
197,186162,22469
198,352253,176882
199,255988,101159
200,283103,92408
