iter,host_ns,dev_ns
1,81804,24333
2,52117,18800
3,58717,23092
4,62194,25492
5,91440,39745
6,94376,35694
7,76565,16312
8,98309,23556
9,113903,38649
10,82724,19969
11,106324,39875
12,93982,21407
13,112978,31940
14,119886,38035
15,128176,42019
16,110560,27101
17,96315,14921
18,129512,44102
19,129836,44917
20,82649,11596
21,125641,37813
22,123804,34264
23,82410,1569
24,105143,22546
25,110887,22473
26,183391,86288
27,113572,27643
28,119583,37665
29,96851,20878
30,114892,36311
31,101039,27753
32,116217,30873
33,107317,29375
34,86509,17040
35,156368,73508
36,95558,29527
37,94251,30440
38,69092,17044
39,82595,24446
40,99031,32948
41,84141,27298
42,88121,27511
43,60124,12240
44,82224,23752
45,112336,41035
46,88946,24475
47,102176,38504
48,56268,14178
49,116845,56408
50,85743,31707
51,84789,19223
52,85148,30685
53,140295,81779
54,85940,19039
55,82814,16225
56,133705,31641
57,114104,30427
58,128187,51949
59,107685,29910
60,99759,24791
61,105169,26100
62,99251,19314
63,91706,21334
64,136086,52152
65,102283,28740
66,114394,34569
67,109749,32463
68,131982,50983
69,92086,12243
70,126131,44597
71,107095,26657
72,112185,37405
73,89349,8682
74,114739,38241
75,102505,25275
76,108557,27888
77,125004,48366
78,152587,63636
79,130320,25376
80,98194,15930
81,119120,37548
82,125637,31996
83,113208,34868
84,96520,27598
85,136193,53426
86,107068,40711
87,69413,16897
88,96238,44280
89,96158,30772
90,104967,38097
91,88540,31794
92,171612,89028
93,146807,2852
94,135909,44526
95,159418,64368
96,113086,37082
97,120702,41387
98,108199,30567
99,142857,59044
100,113100,27466
101,135361,41854
102,129544,44082
103,145084,66064
104,136375,47490
105,122723,31774
106,108450,17388
107,78142,15806
108,135122,74321
109,101077,37498
110,99346,31677
111,138209,42279
112,119286,31158
113,135819,38693
114,127853,31344
115,123284,31253
116,125576,41355
117,122394,36724
118,172532,94096
119,210956,139049
120,133091,39822
121,109662,18605
122,121492,34620
123,117057,25879
124,106092,23224
125,111380,28972
126,92651,21712
127,115159,29410
128,127989,44675
129,103638,15573
130,91973,21070
131,93528,13778
132,133873,43300
133,122494,41099
134,129395,28123
135,133841,41505
136,94739,6826
137,128514,38133
138,111364,18737
139,129746,31983
140,117683,29823
141,101948,33206
142,116972,32462
143,121021,46171
144,73397,17113
145,103547,38888
146,139705,71958
147,89730,30710
148,118959,54886
149,94112,30905
150,108513,43126
151,118543,38740
152,126170,55301
153,124538,47111
154,83520,26597
155,123668,45408
156,70676,17456
157,110138,52571
158,99678,27230
159,128288,44736
160,86832,25608
161,102850,24728
162,90260,23006
163,97202,37521
164,98128,36620
165,94031,29887
166,70730,14103
167,131786,60296
168,115300,43930
169,101175,35281
170,110744,33872
171,104135,28989
172,105276,27556
173,92861,28974
174,112371,34640
175,142754,62623
176,109240,46745
177,94751,30920
178,93782,26262
179,113655,42184
180,106941,40992
181,103015,47232
182,98145,28681
183,115459,38489
184,78591,16925
185,92997,34291
186,120784,47759
187,98865,23137
188,104927,23736
189,104107,11723
190,135549,49110
191,104809,28349
192,138552,43099
193,122199,42444
194,116603,35737
195,125063,43697
196,109091,26072
197,122929,31379
198,126088,43650
199,199968,113499
200,120234,31095
