iter,host_ns,dev_ns
1,59181,18034
2,97225,28538
3,82073,19381
4,81395,24725
5,113621,35228
6,73650,11280
7,80132,27794
8,260796,111991
9,230794,72083
10,285951,83024
11,334289,93171
12,332157,90944
13,379888,95533
14,259135,28343
15,385926,157860
16,277896,93414
17,422088,109942
18,298660,119695
19,292635,65496
20,194174,4010
21,228261,79941
22,269602,76919
23,233431,68937
24,248140,50084
25,274770,83287
26,292718,113313
27,213060,43620
28,305146,118945
29,272876,69783
30,196628,48382
31,267005,93158
32,340673,144162
33,395169,89504
34,366582,107777
35,329448,124250
36,243013,80215
37,244957,103576
38,210653,66427
39,310472,167857
40,254771,115191
41,205364,58425
42,230886,66064
43,393841,157787
44,246422,57888
45,387120,64331
46,275974,75278
47,343363,157850
48,628170,188262
49,539528,127298
50,145631,31991
51,118865,52366
52,96529,30292
53,83360,20673
54,92089,42133
55,143518,80288
56,135933,68361
57,124999,22931
58,264495,109219
59,255546,98641
60,228384,71091
61,157782,29781
62,238504,71354
63,372290,137948
64,272138,7819
65,231062,63861
66,237337,60940
67,431989,249760
68,316507,109761
69,382699,59004
70,168339,29239
71,281701,99808
72,672977,111158
73,394245,129160
74,279282,101150
75,228499,55003
76,294112,137112
77,425278,193645
78,186650,66337
79,252826,66659
80,300253,130530
81,273086,45308
82,335786,40238
83,301222,98079
84,387236,95404
85,215390,61230
86,240245,72283
87,274254,111714
88,276757,104997
89,266966,76118
90,263769,100860
91,235967,62117
92,228182,76811
93,244313,115864
94,269246,74312
95,293157,118258
96,293050,117230
97,233309,87830
98,173728,32053
99,230606,78407
100,230812,53204
101,252711,56761
102,152233,21224
103,376934,157366
104,328118,135689
105,193474,45415
106,259058,68157
107,328634,166016
108,187866,44927
109,225562,65603
110,429435,104653
111,304694,3489
112,350311,96839
113,341559,101943
114,284323,60523
115,289816,91175
116,325103,107202
117,397218,129004
118,418526,138498
119,436246,40366
120,463853,128978
121,383837,66156
122,361386,121548
123,286073,57669
124,472271,195583
125,314495,109428
126,292348,85125
127,309675,121204
128,323179,19168
129,180339,36152
130,336680,142810
131,315956,130032
132,437947,200727
133,358891,10288
134,379060,132436
135,181576,25018
136,223203,8957
137,386189,139980
138,360740,104705
139,296839,65089
140,284669,161476
141,245461,64646
142,197742,72137
143,198963,62094
144,547505,362214
145,255309,74255
146,238597,61610
147,314027,83512
148,244814,85873
149,220937,63574
150,282600,109666
151,251299,76616
152,226470,60644
153,160562,4087
154,219224,70852
155,199727,60549
156,330917,216950
157,221941,76745
158,453643,303368
159,231268,73868
160,229973,90617
161,216568,58692
162,200146,61488
163,333374,159735
164,247548,55641
165,281720,121380
166,281139,128838
167,377373,207639
168,284038,69359
169,230609,80431
170,172519,40683
171,211625,77399
172,285413,145520
173,335327,209221
174,202885,80739
175,236406,96974
176,272864,124091
177,240275,81023
178,224672,54928
179,226513,95607
180,205230,51944
181,216710,60439
182,249447,74909
183,246206,85277
184,223050,62807
185,221978,64498
186,238137,70887
187,281415,87193
188,234157,98011
189,233589,70619
190,284223,135903
191,283646,138698
192,232384,89026
193,254686,108174
194,242741,97208
195,244318,79818
196,251877,95571
197,243354,101348
198,230521,96515
199,252771,85922
200,193372,54746
