iter,host_ns,dev_ns
1,52114,4397
2,56034,4865
3,68747,16894
4,126359,73601
5,100625,21520
6,74341,27162
7,204619,49431
8,281642,56520
9,389661,106768
10,276758,72522
11,264764,69353
12,282780,68696
13,287271,113995
14,279140,94947
15,250083,25717
16,268295,71465
17,219581,38238
18,222566,50252
19,284007,116859
20,194318,39317
21,301987,120081
22,243605,91281
23,249198,88929
24,162140,32300
25,215014,60580
26,188065,36244
27,197332,48309
28,258425,82101
29,218062,78923
30,255296,81840
31,247495,84664
32,202411,55992
33,177617,29772
34,323216,119920
35,313157,67570
36,303152,95892
37,209207,64389
38,277904,102158
39,340385,92853
40,260361,36741
41,366837,59537
42,305881,124581
43,342810,128554
44,279684,85860
45,226225,81844
46,258369,44177
47,219945,29986
48,251759,90206
49,208590,71201
50,203844,66628
51,211016,57003
52,289890,105216
53,278624,90265
54,244761,87936
55,239969,77102
56,249673,53687
57,174106,35554
58,239646,74644
59,266411,79428
60,274904,118570
61,220113,63675
62,237902,41566
63,417525,113411
64,770276,363906
65,265668,59623
66,543174,95802
67,339884,7071
68,252139,113259
69,350426,49899
70,356319,42158
71,346987,158747
72,229906,86883
73,373431,45130
74,386560,52542
75,220257,27817
76,217356,76501
77,208158,57513
78,367323,91956
79,329110,121953
80,305113,89430
81,315829,140329
82,331722,118107
83,156506,27229
84,259890,83496
85,278235,55713
86,243913,55528
87,244947,69579
88,337021,92460
89,319259,91892
90,249814,39127
91,315174,80627
92,309327,53631
93,288049,70950
94,327622,62489
95,339701,138140
96,302943,52347
97,205452,70835
98,203959,34266
99,342138,119826
100,266322,86547
101,357373,89732
102,259827,73754
103,255235,70836
104,291637,123022
105,220874,58765
106,217759,34764
107,281857,64747
108,263122,35081
109,382080,110907
110,348592,85454
111,410994,137428
112,322455,122399
113,274781,58451
114,231813,54190
115,399719,200410
116,313733,117055
117,280714,82640
118,314401,94263
119,263896,98184
120,281367,102242
121,300019,63272
122,248131,47069
123,303698,65322
124,267202,91392
125,213489,73924
126,177736,42694
127,189284,39136
128,161022,43252
129,284956,146806
130,232746,88646
131,270234,64201
132,272067,48542
133,238259,42182
134,257710,71252
135,185667,37027
136,220083,3722
137,325551,117690
138,372036,103547
139,273862,116762
140,254562,102679
141,240768,73628
142,269497,79749
143,290657,115272
144,213473,54821
145,197310,55444
146,262813,87374
147,435820,229757
148,313436,124637
149,398747,211162
150,228260,38999
151,248579,61919
152,235350,77716
153,235590,52825
154,205289,55645
155,235792,69794
156,230149,85222
157,295552,34248
158,176073,47232
159,214348,81477
160,332560,109485
161,232416,72275
162,279665,116299
163,226492,71681
164,211402,68261
165,259683,103966
166,222943,70542
167,205135,57805
168,192758,60965
169,218740,66215
170,271919,117848
171,250687,62548
172,268951,95883
173,331929,151202
174,277951,73439
175,696802,465002
176,175898,10114
177,535459,322315
178,501969,305544
179,236977,90078
180,263423,68260
181,257532,54349
182,240555,83494
183,277795,89733
184,206272,39186
185,213116,67552
186,201069,22352
187,242641,73841
188,245911,92192
189,200481,7178
190,244397,12453
191,414146,182439
192,206361,27086
193,327615,100746
194,264393,99792
195,147502,28966
196,204217,76555
197,234309,65180
198,314955,104465
199,274059,99969
200,230341,79742
