iter,host_ns,dev_ns
1,62800,16367
2,52394,3131
3,74021,26051
4,60010,20401
5,33503,5434
6,59733,22268
7,62751,17716
8,148927,44468
9,136072,37937
10,143683,45636
11,123503,40155
12,149641,60053
13,131496,46509
14,168600,41969
15,131497,42282
16,135884,33723
17,102163,10047
18,173904,41940
19,158481,64567
20,81236,2372
21,106927,33076
22,120718,24956
23,148639,59200
24,142739,57626
25,136451,53863
26,94954,22394
27,120112,42314
28,130339,43853
29,110867,28282
30,147596,53835
31,147477,50705
32,137555,52077
33,147493,41534
34,173965,46375
35,182023,63196
36,168048,44197
37,114873,1932
38,179153,58461
39,166061,52807
40,150430,35190
41,199425,88535
42,147156,44943
43,172679,54992
44,159553,48200
45,581090,127224
46,295213,166506
47,144940,60985
48,126810,53310
49,57432,17828
50,51230,18780
51,51333,15874
52,57621,26091
53,44392,12977
54,53633,18239
55,44945,15389
56,51060,16165
57,50579,17567
58,51892,15463
59,60011,28966
60,41961,13058
61,36628,6984
62,42875,11289
63,131634,68519
64,114372,33800
65,163938,71064
66,131591,53675
67,106908,26942
68,122983,40428
69,116842,36812
70,134027,38770
71,99441,22761
72,109961,36637
73,121893,47047
74,119317,31524
75,128889,37973
76,121773,34510
77,130803,35550
78,133363,47416
79,121001,45381
80,94979,20101
81,144121,63578
82,111662,31757
83,183417,85861
84,117162,42346
85,135648,46399
86,129247,43526
87,148035,48973
88,130251,37102
89,119772,40782
90,122563,40558
91,181775,101618
92,144657,58500
93,142604,54210
94,122361,41573
95,157864,70702
96,165940,67943
97,119672,35252
98,143902,56349
99,154007,69628
100,102045,19728
101,135074,43514
102,131503,43336
103,134434,52460
104,152998,61837
105,188415,98705
106,173231,85260
107,138055,50030
108,193602,102021
109,139355,60921
110,153858,60707
111,123486,44256
112,171880,68988
113,140326,52640
114,111298,34064
115,150691,56352
116,122428,38506
117,172543,42408
118,149123,36554
119,157588,47385
120,153499,36351
121,171295,61110
122,175118,75846
123,127607,40319
124,145496,52684
125,126684,44789
126,138193,43077
127,111693,30832
128,130016,45455
129,123473,33975
130,84520,13918
131,132397,54136
132,161619,75666
133,109434,22624
134,134757,57870
135,124552,54301
136,127871,46572
137,105057,28051
138,102848,32600
139,136775,45286
140,149507,51391
141,116061,31762
142,137309,48556
143,136604,36872
144,142046,50617
145,138382,55691
146,122491,50077
147,125615,44435
148,122396,44327
149,149147,50447
150,448326,49965
151,115984,40828
152,153616,40582
153,144796,30896
154,185751,35292
155,167348,40228
156,196211,58191
157,159844,36295
158,175917,31922
159,183145,47397
160,297675,162081
161,217827,60537
162,217328,83746
163,195620,47815
164,187449,42141
165,190435,38182
166,178262,19472
167,210566,67343
168,167614,29913
169,153409,50994
170,146330,41209
171,172750,52069
172,186475,36755
173,197868,55855
174,178993,39063
175,187095,52423
176,178137,35763
177,185379,56478
178,169428,34761
179,167385,38004
180,247248,100859
181,206550,56515
182,120864,7669
183,120685,30187
184,478999,389984
185,146683,56746
186,129752,33020
187,147520,58501
188,145448,49676
189,149336,55426
190,161768,61190
191,138068,32198
192,183822,83473
193,101786,21111
194,150648,56690
195,116925,27542
196,128437,32252
197,135815,52002
198,165922,65528
199,149493,44341
200,138101,34871
