iter,host_ns,dev_ns
1,106010,43412
2,128503,49004
3,103961,36428
4,104501,36462
5,95183,29072
6,292976,115213
7,238439,69187
8,292447,92590
9,262957,71355
10,378043,97838
11,489685,122388
12,311661,85488
13,278821,90008
14,262664,74040
15,343713,167364
16,325431,160644
17,375332,82677
18,357107,150118
19,297509,89177
20,326932,116050
21,208273,57744
22,216562,87957
23,401173,92816
24,349939,97247
25,430306,110524
26,364504,81737
27,641531,447583
28,289318,98334
29,190435,41239
30,247684,79134
31,236752,74438
32,374333,139633
33,477903,319055
34,243995,78462
35,309192,102472
36,313110,109614
37,531149,298813
38,314471,98807
39,248982,35304
40,305110,56251
41,526921,167713
42,349611,21122
43,320697,41991
44,307250,14645
45,407444,113994
46,259758,114065
47,329067,107356
48,274711,15316
49,506599,116981
50,352176,35289
51,329292,119971
52,348426,93356
53,266536,69953
54,219460,78083
55,197024,53401
56,287726,94935
57,423125,208097
58,337830,27398
59,316329,7125
60,289849,42194
61,321630,88902
62,330673,85927
63,292216,42456
64,301472,124442
65,447846,132216
66,398912,50823
67,292130,23518
68,237365,70543
69,299989,60625
70,259350,76346
71,266565,79111
72,339373,115817
73,434617,105955
74,269247,64144
75,315420,146248
76,218019,70244
77,217619,72663
78,457127,98137
79,309303,43674
80,212644,56543
81,400488,181331
82,296244,125378
83,318037,92389
84,213678,3596
85,482602,288888
86,310818,87161
87,228366,66453
88,205843,45272
89,267527,83702
90,142630,30828
91,222621,87017
92,220991,77684
93,181762,51265
94,244383,98053
95,237272,93326
96,190181,40728
97,229253,68461
98,241520,74220
99,222999,52530
100,245788,101672
101,327523,172265
102,299903,122617
103,272422,92286
104,224561,63710
105,275166,73020
106,256425,55618
107,254985,25176
108,260758,108686
109,247741,66818
110,253937,62536
111,317161,127263
112,245515,82943
113,242593,70386
114,259602,98622
115,246149,78037
116,297130,111737
117,246496,81580
118,238689,89898
119,223605,79135
120,257708,63918
121,232886,74387
122,358985,161318
123,210712,52547
124,276072,118677
125,241143,72121
126,217335,52712
127,434127,251864
128,398144,73941
129,334573,138937
130,592226,102906
131,265174,3569
132,363036,122234
133,398407,141640
134,473365,159198
135,484153,241482
136,312228,124146
137,243282,69387
138,322638,98312
139,380747,137415
140,244696,72813
141,205197,61543
142,396497,84319
143,385263,137224
144,228827,3363
145,411471,96349
146,435179,197715
147,370699,101549
148,346505,84938
149,308176,65341
150,239541,76317
151,334690,159363
152,310922,94750
153,300081,98787
154,305627,113281
155,428054,62266
156,369714,116019
157,299537,120941
158,370171,91061
159,304005,115528
160,415817,210062
161,239666,91665
162,319423,85194
163,499980,190110
164,336160,128651
165,386262,62089
166,355690,146043
167,337717,94034
168,483573,241367
169,310186,82801
170,366325,99407
171,264570,86889
172,312073,64783
173,255700,99236
174,245039,73916
175,293739,102068
176,239160,66221
177,221380,83773
178,267731,111835
179,552243,396754
180,320782,127494
181,239259,86259
182,274991,101165
183,339422,191526
184,242406,87381
185,244463,79210
186,350282,144885
187,228658,66439
188,161213,32327
189,295357,62743
190,257008,94405
191,223822,70312
192,206424,80289
193,204486,55773
194,256372,108458
195,274642,90827
196,198082,44801
197,244934,93177
198,303230,117046
199,299724,106591
200,272641,84209
