iter,host_ns,dev_ns
1,73699,28101
2,62140,18392
3,63300,18813
4,64913,20187
5,60884,14663
6,233034,70995
7,148030,15784
8,175901,31626
9,177012,38230
10,238352,116430
11,161600,68243
12,125394,19021
13,149250,33601
14,158037,55358
15,167293,35760
16,171795,55539
17,187563,77453
18,138859,16141
19,161848,52189
20,134395,34747
21,154354,59147
22,159735,57485
23,187505,79003
24,138693,47079
25,113894,30016
26,174319,81479
27,113372,22508
28,162013,46118
29,115291,8131
30,167335,55646
31,118056,26305
32,120296,27539
33,158521,54870
34,166902,66248
35,117650,28747
36,152135,57219
37,137536,27127
38,146980,41267
39,132491,26908
40,223214,103589
41,160542,23016
42,156094,42408
43,168348,65683
44,138411,44350
45,179343,63318
46,148176,52612
47,110871,19261
48,127586,40463
49,176975,59348
50,154903,42878
51,181767,60946
52,166764,55104
53,190936,82200
54,157092,55091
55,203087,98830
56,153236,40859
57,169273,49527
58,146118,48996
59,180681,63068
60,196646,60347
61,246462,56771
62,215252,58899
63,197138,61482
64,186807,53463
65,199534,45622
66,178646,42994
67,185486,51715
68,171186,28146
69,309753,163733
70,169407,24382
71,192358,46106
72,217928,76572
73,398215,299638
74,206394,84332
75,156313,43880
76,174647,66505
77,320257,57786
78,161149,43257
79,139216,44368
80,146390,41924
81,187407,52306
82,182644,42456
83,115305,7099
84,165322,75259
85,118301,21144
86,151024,46230
87,149151,51663
88,143761,37930
89,148790,41444
90,159370,41480
91,209595,56521
92,195505,56261
93,182667,60770
94,211859,89324
95,152859,23456
96,181900,66334
97,175567,46812
98,165099,31559
99,211681,60676
100,160394,52925
101,126663,31382
102,181742,73228
103,172990,55835
104,146475,41509
105,152151,52376
106,145156,41847
107,144216,45629
108,237184,118596
109,175289,57522
110,190439,73025
111,183860,64745
112,110854,20922
113,192776,37412
114,162473,35181
115,169191,44948
116,690441,54993
117,181809,49497
118,179179,52639
119,157364,69331
120,43605,16515
121,53876,19152
122,69907,32104
123,54274,23597
124,74100,43294
125,72436,37362
126,55802,23194
127,48104,17913
128,52397,20629
129,63355,28449
130,54602,14683
131,58981,22619
132,122388,87229
133,49596,15181
134,149464,50621
135,157937,43103
136,149918,41112
137,214226,83593
138,218296,74887
139,205554,79097
140,130110,24382
141,166242,51088
142,167216,37608
143,126885,34047
144,168491,65854
145,166796,69743
146,147318,46046
147,151484,47251
148,167500,62366
149,149864,42185
150,197459,66540
151,161139,22744
152,195660,37995
153,177237,27455
154,234159,75097
155,233643,42350
156,187810,83557
157,163592,36833
158,214867,77631
159,170326,61202
160,181946,66218
161,163692,59175
162,141192,27923
163,148166,27151
164,220924,74518
165,222617,54454
166,160350,11240
167,189434,40940
168,210348,54810
169,181048,20163
170,213440,55467
171,177353,46641
172,177732,51537
173,175069,50771
174,186168,60855
175,200833,54656
176,178806,56811
177,222350,53334
178,163612,51409
179,158113,58357
180,156797,56465
181,189164,75760
182,163274,49492
183,165450,56734
184,185490,66146
185,134498,27858
186,176070,60533
187,247561,124688
188,160947,55739
189,181239,55799
190,214250,63964
191,184193,58764
192,124417,27225
193,140701,32620
194,201912,60425
195,202033,51102
196,193817,59218
197,270868,109109
198,241803,75279
199,232137,102038
200,130291,2623
