iter,host_ns,dev_ns
1,53146,6760
2,60182,14456
3,65754,17834
4,68213,23448
5,69353,19109
6,80748,31268
7,62980,16129
8,173219,40809
9,188765,44606
10,134141,46317
11,154492,53118
12,181414,45935
13,180139,34859
14,160187,39532
15,234302,86988
16,125253,3575
17,228955,95991
18,167143,38904
19,201235,50734
20,183730,52082
21,168145,68968
22,260719,150980
23,138281,42525
24,153782,55806
25,169939,71765
26,151860,54457
27,181734,88493
28,157438,61612
29,140858,56052
30,151694,50928
31,135481,45344
32,138588,51241
33,137138,45159
34,158422,50625
35,138938,42207
36,138333,34380
37,134869,33057
38,159466,57121
39,159439,54662
40,153662,62183
41,298469,199106
42,188777,79071
43,153735,52823
44,152444,56993
45,132855,29506
46,147554,51298
47,145997,46945
48,180783,58885
49,175552,81620
50,147922,62301
51,213782,106617
52,265157,165893
53,122656,31439
54,140482,60269
55,134693,53298
56,131563,44710
57,154563,55204
58,146951,40255
59,147625,41113
60,111581,32739
61,133838,30284
62,131695,48568
63,157692,65088
64,146238,57709
65,185173,84105
66,146193,53537
67,157637,60301
68,169443,46189
69,177471,43448
70,200400,68892
71,152113,32909
72,194786,69686
73,192930,61559
74,166865,52931
75,175882,67753
76,169885,64022
77,162728,69141
78,195952,103813
79,233768,141778
80,179766,73533
81,181957,80440
82,165214,70120
83,93471,17108
84,168936,67401
85,156266,57474
86,119179,25013
87,134491,58736
88,138204,43880
89,219160,116556
90,112699,25741
91,133983,32615
92,140316,37085
93,141401,20391
94,188110,65758
95,174210,57239
96,161394,38291
97,178026,44072
98,197410,53411
99,896160,63764
100,286949,69850
101,227388,111828
102,53165,25031
103,37239,7802
104,54352,18598
105,49403,12534
106,60041,19908
107,50819,15583
108,52127,15820
109,64205,29078
110,52556,16480
111,36597,1169
112,59485,15061
113,89818,36342
114,66348,19299
115,52795,11460
116,49411,10040
117,156996,45374
118,244514,73042
119,214355,52452
120,201432,56986
121,200421,36582
122,185864,26313
123,200463,71107
124,160028,27229
125,176608,66149
126,169177,52135
127,174996,54920
128,150042,30625
129,172880,56724
130,180767,64416
131,223340,87339
132,515007,69338
133,149760,45889
134,161411,38727
135,155157,43761
136,170434,75774
137,182653,60419
138,189125,93070
139,150738,45763
140,265474,166064
141,159703,56830
142,160966,50312
143,183776,53309
144,140547,23849
145,116841,11497
146,179434,71936
147,139842,25543
148,159250,62086
149,155572,55475
150,149434,47645
151,135145,31361
152,175831,63123
153,185633,68843
154,160894,53810
155,137868,37785
156,182883,71230
157,143083,45326
158,184025,61276
159,168928,53005
160,172134,66912
161,140436,34003
162,151286,46328
163,167429,53773
164,184656,64625
165,166851,58547
166,214096,106190
167,174605,58494
168,173255,77159
169,164341,60770
170,183748,65151
171,119440,28169
172,194179,73923
173,168378,66330
174,187037,74895
175,178178,59083
176,181648,65773
177,165331,73267
178,160577,47040
179,185963,69026
180,154321,55891
181,154616,50129
182,200765,84159
183,143014,34248
184,135500,37075
185,276729,159487
186,152969,44711
187,154981,46521
188,125929,27626
189,186920,70096
190,156375,61793
191,519269,53229
192,180159,53474
193,161979,46889
194,154134,42996
195,168925,48087
196,130430,26320
197,176245,71354
198,177538,76118
199,153782,53105
200,275801,164670
