iter,host_ns,dev_ns
1,69592,23829
2,136168,52012
3,148459,42898
4,242992,110623
5,213047,75366
6,171014,28614
7,239831,81768
8,214642,52989
9,220545,64533
10,196195,53511
11,450839,278218
12,320399,81950
13,233096,75948
14,301674,102529
15,647376,452682
16,273300,32255
17,270385,56950
18,173861,61947
19,221790,47455
20,157700,22781
21,190913,53971
22,219836,102231
23,226723,55924
24,450709,249731
25,234710,77292
26,159175,34831
27,206745,73825
28,197960,74480
29,189130,64271
30,202975,69913
31,264680,109893
32,214557,83739
33,521671,146266
34,326443,163515
35,160128,54006
36,143723,50805
37,198177,73496
38,175808,71384
39,224174,118392
40,190890,67265
41,176604,53708
42,163141,51823
43,200231,84668
44,166266,64687
45,203234,76567
46,207801,89741
47,195341,70474
48,170618,47673
49,190558,74357
50,214751,93646
51,183448,77052
52,170632,42314
53,187004,58008
54,184045,78981
55,177947,52468
56,156147,46996
57,192571,62158
58,203330,73103
59,156827,38129
60,164688,47321
61,319548,34248
62,189758,69942
63,170717,56465
64,265185,141614
65,187020,72497
66,129911,28374
67,205680,96506
68,161611,51102
69,196624,56955
70,464698,348428
71,171948,59868
72,193360,74814
73,117000,2809
74,163252,64117
75,172291,60860
76,181649,69743
77,157749,49694
78,172650,49300
79,616048,231455
80,163280,59635
81,166133,67549
82,176508,63978
83,195450,71906
84,179893,64249
85,216488,96645
86,178065,62812
87,189867,77855
88,213720,94215
89,312191,192058
90,201221,74394
91,145099,37135
92,137163,39688
93,171072,69254
94,186138,68545
95,188802,60558
96,205555,56968
97,204485,62905
98,283307,173607
99,239644,77193
100,259323,74852
101,171285,10896
102,209967,80177
103,187460,65427
104,144066,42181
105,161670,39880
106,184699,55903
107,164369,56718
108,183564,67097
109,177899,54301
110,248488,113202
111,428777,125955
112,109810,16767
113,186811,68424
114,198538,80735
115,173083,58661
116,154974,50007
117,209358,96825
118,187446,85235
119,182133,60407
120,188705,79969
121,119519,23897
122,169726,54200
123,172275,61242
124,167124,54334
125,184145,42883
126,190316,61330
127,150667,38090
128,184921,71222
129,599694,58193
130,260388,65929
131,228942,79126
132,204596,42966
133,75374,13405
134,57979,17186
135,212162,40884
136,83048,38837
137,64551,28847
138,121058,21706
139,114447,80147
140,46998,8772
141,53954,24219
142,52818,16704
143,52821,18176
144,54847,21909
145,126372,50632
146,193767,77151
147,245507,110679
148,205635,88208
149,210981,91601
150,195702,71535
151,234827,86152
152,216902,67967
153,213418,86782
154,221022,70084
155,149132,29447
156,211524,83533
157,178456,52915
158,186753,48334
159,207825,85266
160,182978,72050
161,243801,108168
162,157990,30648
163,195317,86643
164,150479,44428
165,183436,73294
166,198209,73195
167,154427,54651
168,188740,61191
169,175439,60393
170,191706,86029
171,181457,56135
172,165420,41159
173,182862,57376
174,175841,58963
175,138014,29413
176,176791,71493
177,198458,69243
178,138887,40577
179,178702,70762
180,158522,50396
181,169192,53280
182,156761,34567
183,152552,25487
184,262526,120527
185,244183,45689
186,187992,19915
187,231420,46947
188,176105,45807
189,203322,71936
190,355667,178096
191,214744,74936
192,153672,46550
193,190740,60820
194,152971,32526
195,862810,66208
196,248764,100854
197,222399,58170
198,187764,55016
199,79439,16204
200,59279,19712
