iter,host_ns,dev_ns
1,58123,17565
2,80263,16328
3,43796,2419
4,57988,21448
5,99978,64802
6,80405,30087
7,61785,21273
8,58746,20101
9,63290,26825
10,44487,2384
11,57373,18926
12,179881,88634
13,226854,64523
14,215810,48977
15,302399,25901
16,360164,87770
17,352508,62062
18,374867,114760
19,191126,49392
20,311424,73654
21,204557,37845
22,326138,72419
23,201001,49894
24,195101,31488
25,299900,64910
26,278579,124094
27,316321,67322
28,284813,100916
29,370993,125972
30,331051,88779
31,290822,3604
32,227216,14476
33,305225,149943
34,334037,129774
35,249043,5478
36,277652,15630
37,148589,3641
38,343272,155307
39,282638,94532
40,251556,73445
41,267992,84581
42,234098,93969
43,229543,13944
44,378204,188776
45,337111,156316
46,275559,78445
47,266997,60996
48,267407,3108
49,286904,37161
50,306110,93835
51,350493,154287
52,317643,83102
53,325373,21437
54,390799,124951
55,179975,47288
56,338343,108510
57,229833,77613
58,412206,251980
59,294885,87880
60,219742,3274
61,192650,76073
62,461682,311800
63,233918,99844
64,245919,89486
65,273498,92327
66,229564,79253
67,286527,84304
68,264429,62567
69,306813,116087
70,257756,96973
71,313416,146015
72,253339,102328
73,327966,178380
74,167332,28664
75,183714,65601
76,189937,51959
77,223264,41381
78,227438,22473
79,348961,165321
80,202314,6802
81,260303,94368
82,244366,6602
83,331541,110375
84,159327,2545
85,201251,26200
86,176916,2901
87,198462,77303
88,212558,65844
89,296813,143034
90,221611,85606
91,203756,68833
92,189945,40329
93,124202,19681
94,227343,106668
95,216394,80710
96,188612,34046
97,255497,68227
98,276832,90369
99,347778,136035
100,295623,73691
101,219892,64818
102,366997,106483
103,219552,21004
104,226964,54576
105,239888,35025
106,254934,56649
107,339009,121178
108,344852,109755
109,331011,70449
110,277167,28708
111,179524,33525
112,283200,87236
113,278586,48127
114,183065,64846
115,214044,3082
116,204608,38529
117,219121,116714
118,478169,234465
119,306671,73392
120,262721,98708
121,329605,111829
122,275422,118470
123,333833,137385
124,235868,23485
125,213108,65104
126,276541,122987
127,385960,264263
128,274122,117397
129,265118,60833
130,193422,32541
131,215841,54106
132,359902,71002
133,246066,78551
134,236563,54278
135,222198,57053
136,313147,114846
137,223646,75180
138,212815,60093
139,422006,189432
140,243658,60734
141,360110,136452
142,288069,47423
143,229278,59723
144,251633,89825
145,192465,60869
146,414121,257865
147,314913,69624
148,307921,123192
149,372487,86420
150,308105,94396
151,252513,52244
152,139464,63907
153,278107,93600
154,237924,72062
155,222961,29684
156,218388,71752
157,181136,45791
158,250827,85634
159,186623,50876
160,229160,40633
161,271083,79192
162,246055,90323
163,205192,26732
164,217185,59015
165,328557,100615
166,260595,53663
167,229199,49519
168,192922,32525
169,266381,105650
170,327662,155916
171,258069,72793
172,244183,20928
173,232121,55582
174,185853,32506
175,208029,43655
176,434365,297179
177,336027,53067
178,297089,69421
179,246555,53017
180,195964,38807
181,311569,57724
182,362385,84546
183,239656,58364
184,217272,58857
185,231358,66328
186,215110,52508
187,154329,27479
188,188877,56615
189,185870,60999
190,200720,61834
191,191789,70379
192,196605,79051
193,161666,44485
194,297349,41517
195,218411,79186
196,162170,46769
197,164161,43347
198,134769,26960
199,168930,56793
200,169659,43937
